model,base_id,donor_id,split,contrast,contrast_kind,contrast_order,binding_changes,expect,layer,target_condition,rho_from,rho_to,delta_frac_inner_def_name,delta_frac_inner_def_value,delta_frac_outer_def_name,delta_frac_outer_def_value,delta_frac_use_site,delta_frac_return_kw,delta_frac_signature,delta_frac_suffix,delta_frac_other,delta_frac_outer_def,delta_frac_inner_def,delta_frac_inner_def_identical,delta_frac_both_defs,binding_shift,binding_shift_identical
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,23,other,1.000000197518899,1.0000001278666555,0.0043583566373804825,-0.010104305983853937,-0.012509754799086944,0.04187065588779981,-0.009436466019081064,-0.01315626007793618,0.0030574576415483626,-0.032044332896862815,0.02796457995784843,0.029360901088712865,-0.005745949346473461,-0.010104305983853937,0.023614951742239418,-0.035106850435186326,-0.0394652070725668
deepseek-coder-6.7b,base_0000,base_0336,test,flip_ab_mismatched,mismatched,90,1,no_shift,27,other,1.0000001097925215,1.000000027988062,0.00589789259411749,0.007841274681396431,-0.008199225375055939,0.010028491338379141,0.0013085863137446887,-0.0026353734694222024,0.003357518334788548,-0.025298260947417717,0.007699014725010014,0.001829265963323199,0.01373916727551392,0.007841274681396431,0.015568433238837123,0.011909901312190722,0.006012008718073232
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,0,bound,1.0000003812165077,0.9999999007393201,0.0034650287081668947,0.05121870795488424,-0.029564231380087014,-0.04486955392530449,-0.03336439017013817,-0.00167728421143876,0.01005829996434697,-0.0035850171419716803,0.048317959724354376,-0.07443378530539152,0.054683736663051145,0.05121870795488424,-0.019750048642340368,0.12911752196844267,0.12565249326027578
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,3,bound,1.0000001547999893,1.000000045462167,0.006690275312587776,0.05546211702856908,-0.026597885597770488,-0.0579367484549512,-0.04139368036275261,0.0003178415945100932,0.0049127742355395375,-0.004269238270279169,0.06281443517672469,-0.08453463405272166,0.062152392341156854,0.05546211702856908,-0.022382241711564776,0.1466870263938785,0.13999675108129073
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,7,bound,1.0000002579179472,1.0000000089179517,0.008227380126522788,0.07943551750633464,-0.03172154535846311,-0.07414150677542253,-0.04100878835417786,0.00083572733956069,0.010556818087910966,0.009346588735282158,0.03846955969245697,-0.10586305213388564,0.08766289763285742,0.07943551750633464,-0.018200154501028187,0.19352594976674306,0.1852985696402203
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,11,bound,1.0000002061128634,1.0000001080493859,0.01167180264148878,0.11243801275905108,-0.018666683093716524,-0.103401671248325,-0.041981644329359497,0.002612353038816741,0.006252602238550821,0.0061039042950608025,0.0249712256349556,-0.12206835434204152,0.12410981540053986,0.11243801275905108,0.002041461058498395,0.2461781697425814,0.2345063671010926
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,15,bound,1.000000126374872,1.0000000977097319,0.00530038056051526,0.1242228878407184,-0.002146665629911809,-0.10960681214435344,-0.0303060294863187,0.0027206053744216196,0.00016007422077168182,-0.010046633275965777,0.019702163874982637,-0.11175347777426524,0.12952326840123365,0.1242228878407184,0.017769790626968374,0.24127674617549888,0.23597636561498364
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,19,bound,1.0000001460632648,1.000000115287144,0.004760920167392173,0.05065005670231383,0.002659739132717956,-0.05129182227362292,-0.015147453851157556,0.003947891519619712,-0.0032738707684029644,-0.015413597391254696,0.023108105986273594,-0.04863208314090497,0.055410976869706,0.05065005670231383,0.006778893728801028,0.10404306001061098,0.09928213984321879
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,23,bound,1.0000002086969648,1.0000001126376077,0.006386078462422222,0.03904342848326571,-0.0029173019452517802,-0.0411322864815917,-0.00795119215934905,0.004422748052213138,-0.003397053273645506,-0.011831199185712293,0.01737668198829194,-0.04404958842684348,0.04542950694568794,0.03904342848326571,0.0013799185188444613,0.08947909537253142,0.08309301691010919
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,27,bound,1.0000002032826567,1.0000000778058977,0.00826606194507801,0.022366075455397733,-0.005467125073784031,-0.01699149059771793,0.002473646736305086,0.004736456275057665,-0.002810711497285734,-0.02431258945300907,0.01173955073319903,-0.02245861567150196,0.030632137400475743,0.022366075455397733,0.008173521728973794,0.053090753071977706,0.04482469112689969
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,0,other,1.000000678697805,1.0000003507360629,-0.0035219022895752366,-0.012667479263746693,0.03552917551398732,-0.0008758517958548304,-0.04513017653430907,-0.0029152479710796743,0.00712429136855889,0.0011283936612577483,0.021328469349019386,0.03465332371813251,-0.01618938155332193,-0.012667479263746693,0.018463942164810565,-0.050842705271454444,-0.047320802981879205
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,3,other,1.000000167418909,1.0000003626155833,0.0022857212014026507,-0.015995336202603204,0.023029864857308346,0.004795728284065503,-0.05419694641626622,0.00023855022595976189,0.0057156346718730995,0.0019126717435821172,0.03221430683135246,0.02782559314137384,-0.013709615001200555,-0.015995336202603204,0.014115978140173291,-0.041535208142574394,-0.04382092934397704
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,7,other,1.000000178679662,1.0000003250422473,0.004514365902442545,-0.020446076194917347,0.005187268971066916,0.014823139333559644,-0.05524937316485431,0.0007156570234127663,0.012437466819165431,0.014490095340038922,0.02352760233267065,0.02001040830462658,-0.015931710292474796,-0.020446076194917347,0.004078698012151716,-0.03594211859710138,-0.04045648449954393
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,11,other,1.000000188041011,1.0000003612612405,0.010124355413740849,-0.02708381567840177,0.0038018989897902755,0.019220958896274856,-0.050217217649257476,0.004711442191506276,0.009269111928399909,-0.0019890454479677966,0.03216248457614446,0.023022857886065146,-0.016959460264660914,-0.02708381567840177,0.006063397621404176,-0.03998231815072606,-0.050106673564466915
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,15,other,1.0000001261747045,1.0000004024332585,0.008291068832915608,-0.040164713303330817,0.007836742041005082,0.03259249512791483,-0.03892525493417699,0.005166227170948577,0.00707110287973417,-0.017551356026846376,0.035683964470390156,0.0404292371689199,-0.0318736444704152,-0.040164713303330817,0.008555592698504727,-0.0723028816393351,-0.08059395047225071
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,19,other,1.0000001231899265,1.000000335567425,0.006478915558377277,-0.037958005423979584,0.005313330057011616,0.04593276881585223,-0.01241194178789079,0.006117158608285442,0.0036886293601743753,-0.049247630614050575,0.03208698780371849,0.051246098872863854,-0.03147908986560231,-0.037958005423979584,0.019767009007261555,-0.08272518873846615,-0.08920410429684344
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,23,other,1.0000001541909156,1.0000003595586384,0.008215787397304105,-0.0301730633070842,-0.0021716983615030876,0.047991350375777724,-0.00559578563971749,0.005431548347515137,0.0019805677972788427,-0.052332412980279464,0.02665391173843107,0.04581965201427463,-0.021957275909780083,-0.0301730633070842,0.023862376104494515,-0.06777692792405471,-0.07599271532135883
deepseek-coder-6.7b,base_0001,base_0152,test,flip_ab_mismatched,mismatched,90,1,no_shift,27,other,1.0000001603639792,1.000000234649546,0.009805905592537186,0.0063055262802003825,-0.0053533504295511635,0.01180074452524136,0.00385574546106514,0.005984862794994335,0.0017843849753563443,-0.055905497975190066,0.02172175306091345,0.0064473940956901975,0.016111431872737565,0.0063055262802003825,0.02255882596842776,0.009664037777047368,-0.00014186781548981495
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,0,bound,0.9999999370108084,1.0000003685676049,0.014269573744128329,0.032816785764633746,-0.0433491868948635,-0.06024538982535834,-0.03503383848234116,-0.002933919464718788,0.01718728880294767,0.02688046163791713,0.05040865627445157,-0.10359457672022182,0.04708635950876207,0.032816785764633746,-0.056508217211459766,0.15068093622898387,0.13641136248485558
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,3,bound,0.9999998681734901,1.0000001712136954,0.014745425538580147,0.03828313345028436,-0.03869239324863222,-0.06924486284371918,-0.045141276317483776,-0.0006562645787738658,0.01081653504905455,0.03080625102904208,0.059083754961853086,-0.10793725609235139,0.05302855898886451,0.03828313345028436,-0.054908697103486837,0.16096581508121588,0.14622038954263575
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,7,bound,0.9999998834029853,1.0000002681176343,0.013402172565518216,0.0431681470311822,-0.03731135505324787,-0.08969502782681543,-0.040556809097928664,-0.002066912404935402,0.014894973781230156,0.04365957042113361,0.054505625298512245,-0.12700638288006327,0.05657031959670042,0.0431681470311822,-0.07043606328336283,0.1835767024767637,0.1701745299112455
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,11,bound,0.9999998440499699,1.0000002698749597,0.012310266904356444,0.048491819998645797,-0.02555922771184968,-0.1217378497443484,-0.0340659503179875,0.00239622233039463,0.02042793806813445,0.06134013487532597,0.036397071422318156,-0.14729707745619808,0.060802086903002234,0.048491819998645797,-0.08649499055319587,0.2080991643592003,0.19578889745484387
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,15,bound,0.9999998830374774,1.0000002681176343,0.009071735873664973,0.07132327280566572,-0.010914070378875387,-0.14384981877719455,-0.02020752227814248,-0.0020879193947404007,0.017982335487945367,0.0565083464765902,0.022174025265243535,-0.15476388915606992,0.0803950086793307,0.07132327280566572,-0.0743688804767392,0.23515889783540062,0.22608716196173564
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,19,bound,0.9999999639365555,1.0000001526362563,0.005029665502918501,0.033207555434659454,-0.006783850540470756,-0.05383607672041521,0.0006977623698441252,-0.0031522890260545396,0.015136654536789376,-0.013087668461494895,0.022788435603924656,-0.06061992726088596,0.03823722093757796,0.033207555434659454,-0.02238270632330802,0.09885714819846392,0.09382748269554542
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,23,bound,0.999999922024985,1.000000163682301,0.0047808802591739995,0.03105651223878669,-0.00727576213664673,-0.04093711747549854,-0.004357538860742825,-0.002704712675354652,0.011686295653034182,-0.0022876849787514253,0.010039369633315448,-0.048212879612145265,0.03583739249796068,0.03105651223878669,-0.012375487114184583,0.08405027211010595,0.07926939185093196
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,27,bound,0.9999999702720255,1.0000000670294087,0.0005156046973814063,0.005791569758172632,-0.002609039449797433,-0.015353001152223777,-0.0012345594215056408,-7.25465293853287e-05,0.009657673709587741,-0.005820401361453231,0.009124796506606817,-0.01796204060202121,0.006307174455554038,0.005791569758172632,-0.011654866146467165,0.024269215057575247,0.02375361036019384
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,0,other,1.000000129390014,0.9999999134069657,0.011521286329601855,-0.015403058808713337,0.032436486140028864,0.0071057497351030285,-0.04201030812320557,-0.007036415296842815,0.005497439042776393,0.013328491372779055,-0.00543988637457582,0.03954223587513189,-0.003881772479111485,-0.015403058808713337,0.03566046339602036,-0.04342400835424338,-0.05494529468384523
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,3,other,1.0000001615033576,0.9999999950014208,0.01628881707198022,-0.018286853585971537,0.0269952280989309,0.01769673625655882,-0.05184984989436636,-0.004065781559700287,0.002525297189276115,0.016261772651394835,-0.0055655327300395685,0.04469196435548972,-0.0019980365139913164,-0.018286853585971537,0.04269392784149839,-0.04669000086948104,-0.06297881794146126
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,7,other,1.0000000995513656,0.999999996471591,0.011781577889495591,-0.02837335472695382,0.009981281512266182,0.025388601727008547,-0.04782084683386995,-0.003975559323634473,0.009792198337014058,0.0249679731063929,-0.0017419747674933816,0.0353698832392747,-0.01659177683745823,-0.02837335472695382,0.018778106401816486,-0.05196166007673293,-0.06374323796622852
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,11,other,1.0000000117748926,1.0000001489282577,0.008633410191914442,-0.055467580051006785,-0.005897201208435704,0.037296714579757834,-0.04125838882444142,0.0017533581416195043,0.015830717761676515,0.03517656411768966,0.0039325424445908475,0.03139951337132213,-0.04683416985909235,-0.055467580051006785,-0.01543465648777026,-0.07823368323041448,-0.08686709342232891
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,15,other,1.000000100086588,1.0000000264630664,0.010480989246741937,-0.05893514554498476,-0.007974142739929024,0.04856534041306039,-0.021948043505383957,-0.003261354766066744,0.016385984544976875,0.012723003482090434,0.003963295245973525,0.04059119767313135,-0.048454156298242824,-0.05893514554498476,-0.007862958625111494,-0.08904535397137417,-0.09952634321811611
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,19,other,1.0000001455804914,1.0000000611590871,0.005235955299182041,-0.04722086758388598,-0.010613640644300617,0.10007072394911998,-0.0015508446879555701,-0.00500953131052995,0.014235064147500004,-0.06792573074816399,0.0127787871576297,0.08945708330481936,-0.041984912284703954,-0.04722086758388598,0.04747217102011539,-0.1314419955895233,-0.13667795088870532
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,23,other,1.0000000722550233,0.9999999970596594,0.004262309547747319,-0.04294186815961515,-0.010758473996777972,0.10181919985564461,-0.005765863231158561,-0.0038859504257182584,0.009673618570611997,-0.056977260140154806,0.004574212784056814,0.09106072585886664,-0.03867955861186784,-0.04294186815961515,0.05238116724699882,-0.1297402844707345,-0.1340025940184818
deepseek-coder-6.7b,base_0002,base_0128,calib,flip_ab_mismatched,mismatched,90,1,no_shift,27,other,1.0000001217630947,1.0000000279332368,0.00019369130639472053,-0.009786878984106257,-0.0052429545967993966,0.01993492211649427,-0.001927231753164076,-0.0008239810981583648,0.008005238561223121,-0.01601132912838521,0.005658429746643129,0.014691967519694874,-0.009593187677711536,-0.009786878984106257,0.005098779841983342,-0.02428515519740641,-0.02447884650380113
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,0,bound,1.000000300555928,0.9999998193093956,0.007030511942077903,0.054636469410758615,-0.046931723462548536,-0.012160484198161868,-0.005546667106924163,-0.004917415824942772,0.007426261179918375,-0.009901986840575167,0.01036455365386546,-0.05909220766071038,0.06166698135283652,0.054636469410758615,0.0025747736921261644,0.1207591890135469,0.113728677071469
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,3,bound,1.000000058918707,1.0000000887336862,0.010149799644070388,0.0603787583304544,-0.041662984253788615,-0.022202457771725165,-0.0114229724359694,-0.005197494504297021,0.005532989200950314,-0.006302903674790972,0.010727295280075155,-0.06386544202551375,0.07052855797452479,0.0603787583304544,0.006663115949011034,0.13439400000003854,0.12424420035596814
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,7,bound,1.000000140148306,1.0000000908825075,0.013511135836138085,0.07089010976340096,-0.038446995117785904,-0.03390580595619595,-0.016699609566953343,-0.0060757828107519535,0.01402790635726206,-0.002911707783109535,-0.00038929998780290465,-0.07235280107398184,0.08440124559953904,0.07089010976340096,0.0120484445255572,0.15675404667352089,0.1432429108373828
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,11,bound,1.0000002218266875,1.0000001006154047,0.013130781223463409,0.08545596925828855,-0.027206453910916528,-0.05052406581527241,-0.037481130579539036,-0.0015232988181126863,0.010218134716810608,0.004369524244563494,0.003560418469431864,-0.07773051972618891,0.09858675048175197,0.08545596925828855,0.020856230755563032,0.17631727020794088,0.16318648898447746
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,15,bound,1.000000183071129,1.0000000358979586,0.00413186207623858,0.11143861555415768,-0.016281176933436836,-0.06329607917019484,-0.03454248603949325,-0.00035548861514555705,0.0036166980062826357,-0.009289470446968373,0.004577378395389631,-0.07957725610363167,0.11557047763039627,0.11143861555415768,0.03599322152676457,0.19514773373402794,0.19101587165778935
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,19,bound,1.0000001323266714,1.0000000146625463,0.0016176351724542497,0.044764978925030494,-0.012921323038786896,-0.03541905341777768,-0.011598636702703783,0.0021486201253946863,-0.0024630380592555734,9.681365356228877e-05,0.013773885677957287,-0.04834037645656458,0.04638261409748475,0.044764978925030494,-0.001957762359079823,0.09472299055404934,0.09310535538159508
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,23,bound,1.0000001451490232,1.0000000887968867,0.0043076798059942505,0.03817919419796318,-0.01181322719449444,-0.025078000951115877,0.0004581153189932262,0.002538014964510971,-0.005264474586557412,-0.019687772897394318,0.016360414989963837,-0.036891228145610314,0.04248687400395744,0.03817919419796318,0.005595645858347126,0.07937810214956775,0.0750704223435735
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,27,bound,1.0000000928338275,1.000000084436043,0.005664217947940072,0.020509031493827268,-0.005600250988963745,-0.0035540354213384005,0.0020515030878317953,-0.006886562380798103,-0.00892259490327009,-0.013535836958901148,0.01027451972588779,-0.009154286410302147,0.026173249441767337,0.020509031493827268,0.01701896303146519,0.035327535852069485,0.029663317904129415
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,0,other,1.0000003992179614,1.0000002586607473,0.00453414230962731,-0.007450445170343607,0.019458285815987963,0.03165471021650659,-0.006613117752407631,-0.005383306195039992,-0.004328320355140719,-0.009112244837557626,-0.022759844588846723,0.051112996032494584,-0.0029163028607162994,-0.007450445170343607,0.048196693171778326,-0.054029298893210884,-0.05856344120283819
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,3,other,1.0000000152959918,1.0000002055494648,0.008725624733460105,-0.012060187621564463,0.014640959439320034,0.03815157776289415,-0.014740064483953059,-0.004943000219286498,-0.006279664952933299,-0.004883165391695227,-0.018611889012768723,0.05279253720221416,-0.00333456288810436,-0.012060187621564463,0.04945797431410981,-0.05612710009031852,-0.06485272482377863
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,7,other,1.0000000344531077,1.0000001076163687,0.01068575869895649,-0.03147441591352909,0.003720886490599762,0.05562544797554195,-0.01707540248221634,-0.004242263828634584,0.009647100265968024,-0.005433162957759696,-0.021453875085665597,0.05934633446614174,-0.020788657214572598,-0.03147441591352909,0.03855767725156911,-0.08013499168071433,-0.09082075037967083
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,11,other,0.9999999766847504,1.0000001380599903,0.010262623508690923,-0.05610925256333021,-0.008172040809116043,0.0790626438100877,-0.024245630840692547,-0.00046778087670662494,0.010133164509945586,-0.008218855378753165,-0.002244709984885629,0.07089060300097164,-0.04584662905463928,-0.05610925256333021,0.025043973946332287,-0.11673723205561091,-0.12699985556430185
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,15,other,0.9999999619085251,1.0000000724778269,0.004173350633675854,-0.04374443658057419,-0.012302282463671016,0.09111058144853185,-0.025417112118998143,-0.00013370380778513803,0.003933146243549034,-0.023227279287554248,0.005607846502127867,0.07880829898486083,-0.03957108594689834,-0.04374443658057419,0.03923721303796249,-0.11837938493175917,-0.12255273556543503
deepseek-coder-6.7b,base_0003,base_0074,test,flip_ab_mismatched,mismatched,90,1,no_shift,19,other,1.0000001259320492,1.0000000953655617,0.001244061381740446,-0.03605524588535773,-0.014489438470254433,0.07802696980854965,-0.011410439642461388,0.0017577914677239983,-0.0032023311489383227,-0.03978285278517335,0.023911454707683827,0.0635375313382952,-0.03481118450361728,-0.03605524588535773,0.028726346834677924,-0.09834871584191249,-0.09959277722365294
