model,layer,site,pole,rank_within_pole,token_id,token,loading,overlap_with_same_label_direction
starcoder2-3b,-1,last_token,unsafe_higher,22,49126,setlength,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,23,49127, Mil,0.0,1.0
starcoder2-3b,-1,last_token,unsafe_higher,24,49128,opn,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,0,49151,sdb,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,1,49150,jem,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,2,49149,hut,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,3,49148,Wasm,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,4,49147,HDF,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,5,49146,CSP,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,6,49145,减少,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,7,49144, virtuella,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,8,49143,lık,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,9,49142,FUNCTIONS,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,10,49141, winrt,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,11,49140,担,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,12,49139, ম,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,13,49138,"=""<?=$",0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,14,49137,wpforge,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,15,49136,recaptcha,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,16,15,<empty_output>,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,17,14,<jupyter_script>,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,18,13,<jupyter_output>,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,19,12,<jupyter_code>,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,20,11,<jupyter_text>,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,21,10,<jupyter_start>,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,22,9,<issue_closed>,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,23,8,<issue_comment>,0.0,1.0
starcoder2-3b,-1,last_token,safe_higher,24,7,<issue_start>,0.0,1.0
starcoder2-3b,-1,sink_arg,unsafe_higher,0,3054,entry,0.15133534698282558,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,1,3429, entry,0.1293230254857267,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,2,2717,Entry,0.11917857493081935,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,3,8715,ENTRY,0.11129571584097143,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,4,1113,item,0.1091042408505017,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,5,13918, Entry,0.10655625206844203,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,6,1641, item,0.09520018236766141,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,7,48757,getEntry,0.08206560176104198,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,8,9159,entries,0.07762412064668985,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,9,8072, entries,0.07650213115593707,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,10,1114,Item,0.0737981070656506,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,11,10938,ITEM,0.07121045046786523,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,12,9917,Entries,0.06883199622121823,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,13,6337, Item,0.06707015803812853,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,14,30789,entrypoint,0.06096335094791644,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,15,19133,EntryPoint,0.05861943180466252,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,16,9763,项,0.05617558405783572,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,17,35725, entr,0.05324749478572813,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,18,37149, ITEM,0.05323401801444011,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,19,17656,entr,0.04998874179927145,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,20,12244,getItem,0.04969366490732261,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,21,5039,入,0.04929754964677938,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,22,19313,setItem,0.04874297959250167,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,23,33850,項,0.04762470501172092,0.25
starcoder2-3b,-1,sink_arg,unsafe_higher,24,3053,items,0.04721178770539168,0.25
starcoder2-3b,-1,sink_arg,safe_higher,0,872,value,-0.10299177318763134,0.25
starcoder2-3b,-1,sink_arg,safe_higher,1,804, value,-0.09616931652412747,0.25
starcoder2-3b,-1,sink_arg,safe_higher,2,899,Value,-0.07313456835116887,0.25
starcoder2-3b,-1,sink_arg,safe_higher,3,5986,VALUE,-0.070497225127584,0.25
starcoder2-3b,-1,sink_arg,safe_higher,4,3867, Value,-0.0682398260061102,0.25
starcoder2-3b,-1,sink_arg,safe_higher,5,23101, VALUE,-0.059309125910789226,0.25
starcoder2-3b,-1,sink_arg,safe_higher,6,491,alue,-0.05579010890566515,0.25
starcoder2-3b,-1,sink_arg,safe_higher,7,6035,值,-0.0544764430439787,0.25
starcoder2-3b,-1,sink_arg,safe_higher,8,34811, valeur,-0.047305578208774596,0.25
starcoder2-3b,-1,sink_arg,safe_higher,9,13567, valor,-0.04681032317169782,0.25
starcoder2-3b,-1,sink_arg,safe_higher,10,20063,値,-0.04637563716670431,0.25
starcoder2-3b,-1,sink_arg,safe_higher,11,23921,的值,-0.04534881063980058,0.25
starcoder2-3b,-1,sink_arg,safe_higher,12,2857,values,-0.045028627033292364,0.25
starcoder2-3b,-1,sink_arg,safe_higher,13,2102, values,-0.044802463429357994,0.25
starcoder2-3b,-1,sink_arg,safe_higher,14,19524,valor,-0.04429774351338369,0.25
starcoder2-3b,-1,sink_arg,safe_higher,15,6693,getValue,-0.04359030385391716,0.25
starcoder2-3b,-1,sink_arg,safe_higher,16,48569,值的,-0.042981923543082834,0.25
starcoder2-3b,-1,sink_arg,safe_higher,17,11534,setValue,-0.042975092150736534,0.25
starcoder2-3b,-1,sink_arg,safe_higher,18,47533, значение,-0.04233888883692671,0.25
starcoder2-3b,-1,sink_arg,safe_higher,19,36102,값,-0.041381431743102555,0.25
starcoder2-3b,-1,sink_arg,safe_higher,20,24365, 값,-0.041140259271205695,0.25
starcoder2-3b,-1,sink_arg,safe_higher,21,12642,GetValue,-0.039846984227562554,0.25
starcoder2-3b,-1,sink_arg,safe_higher,22,2683,buffer,-0.038814539489016475,0.25
starcoder2-3b,-1,sink_arg,safe_higher,23,21517, getValue,-0.03759253587641917,0.25
starcoder2-3b,-1,sink_arg,safe_higher,24,7211,chunk,-0.03727888514672966,0.25
starcoder2-3b,0,last_token,unsafe_higher,0,41219,teins,0.019928084828674933,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,1,36521,setMinimum,0.019662991217488282,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,2,3897,raft,0.01905317495557514,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,3,30592,bosity,0.018944689758722186,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,4,28510,ForType,0.01873133667634367,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,5,9994,shields,0.018431061360940373,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,6,2303,eta,0.01804343288738913,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,7,14911,Rev,0.01734415114469058,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,8,47467, क,0.016959648565551405,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,9,608,Pro,0.016910213823073676,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,10,40775,PERIMENT,0.016769841856234008,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,11,15636,oe,0.016649317106491604,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,12,4584, implements,0.016541109329982026,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,13,46543, selecione,0.016416561594331136,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,14,9892,rev,0.01641615696630115,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,15,24639,qn,0.016315075633109723,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,16,33204, Rev,0.016168749052038318,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,17,6318,lu,0.015655177175315966,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,18,13051,istrator,0.01553446777577563,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,19,13654, CONTRIBUTORS,0.015465201681322647,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,20,41938, durante,0.015389930381070054,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,21,4654,sn,0.015315670668198144,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,22,4505,Only,0.015282384294408645,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,23,5735,ota,0.01527347716472088,0.010101010101010102
starcoder2-3b,0,last_token,unsafe_higher,24,23948, uit,0.01526957706779702,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,0,17336,%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%,-0.020499237765200684,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,1,37535,%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%,-0.020151871121288165,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,2,45420,olvable,-0.01998144710685337,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,3,19751,TET,-0.0198867833014541,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,4,44363,Uh,-0.019632921711133122,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,5,21766,WB,-0.018793830652956516,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,6,25577,aro,-0.018425859890465867,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,7,41136,Rj,-0.018317077684068633,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,8,16018,WP,-0.018219869858344884,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,9,3394,curity,-0.01798748931707267,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,10,27987,ultaneous,-0.017964284000154186,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,11,48438,UPP,-0.01772029246045365,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,12,14309,highlighter,-0.017715788713096134,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,13,23113,queda,-0.01746162459397941,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,14,40048,NGO,-0.017067448076679863,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,15,19764,""">{{$",-0.016973622339431626,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,16,43426,Uo,-0.016914889708454842,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,17,36516,Uy,-0.016904226761387146,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,18,38320, Insights,-0.01665657621525436,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,19,43831,THB,-0.016485067182159033,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,20,47608, inherits,-0.016364255711504253,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,21,45412,ndash,-0.016222473394299393,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,22,42420,JF,-0.016219792238700837,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,23,12974, Sem,-0.01606049624902731,0.010101010101010102
starcoder2-3b,0,last_token,safe_higher,24,42768,Jx,-0.01604318404762129,0.010101010101010102
starcoder2-3b,0,sink_arg,unsafe_higher,0,28562,Via,0.020322724850903782,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,1,11526,oler,0.019910072825965373,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,2,42184,penas,0.019102516701539323,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,3,47224,advert,0.01779343390147206,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,4,1974,ays,0.017579423136147656,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,5,47159,pmn,0.01704223070406253,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,6,40834,indirect,0.01695677220332105,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,7,1286,и,0.016833816201494024,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,8,25763,ilerplate,0.01673798570570839,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,9,40648,SyntaxError,0.01641966764431165,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,10,40461,footnotesize,0.016400361885971222,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,11,4921,pm,0.016165068969020664,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,12,4701,gy,0.016097795266522327,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,13,45874,cej,0.01607664105256211,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,14,27378,battery,0.016074490311409895,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,15,9878, Over,0.016061600393707416,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,16,6765,atis,0.01598986165685529,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,17,7588,　　,0.015949793237530176,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,18,7283,antic,0.015679625067609518,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,19,11191,uracy,0.015626790568576632,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,20,16684,ovy,0.015611424936053607,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,21,2828,ari,0.015538327684004776,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,22,8393,注,0.015531698494416567,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,23,4757, working,0.015518580467106698,0.005025125628140704
starcoder2-3b,0,sink_arg,unsafe_higher,24,12366,vnd,0.015347516702539966,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,0,44068, obie,-0.02200948634555136,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,1,44582,insp,-0.021356884982442325,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,2,36805, tButton,-0.020356998088607234,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,3,40199,ッセ,-0.01833825844378373,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,4,8202,bine,-0.018188932805395856,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,5,36386, nostr,-0.01813341723686708,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,6,36416,*)(*,-0.018029790162439194,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,7,25086, tmpvar,-0.017991135225257394,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,8,23750,postinc,-0.01770280710700944,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,9,12413,hood,-0.017698982552964367,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,10,33286,createFrom,-0.017673089619322253,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,11,19764,""">{{$",-0.01752449166880802,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,12,38134,"](""",-0.017372271128706894,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,13,29696,ggler,-0.0171566569664436,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,14,41058,Declara,-0.016861493713504767,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,15,17236,��,-0.016728596669278947,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,16,35153,apods,-0.01660406538394801,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,17,33525,Dsl,-0.016526086880240855,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,18,5413,ural,-0.01652087832779564,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,19,14630,urnished,-0.016492984300774647,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,20,34331, wnode,-0.01648655769351364,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,21,39016,"""%>",-0.016214250428834117,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,22,32290,EObject,-0.016213155391556794,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,23,21947,readOp,-0.01620787536289058,0.005025125628140704
starcoder2-3b,0,sink_arg,safe_higher,24,32076,StringDesc,-0.016182621561184368,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,0,18021,"__"":",0.02118589241129844,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,1,45058,ChangeTimes,0.020902930440839008,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,2,12079,�加,0.020850056438641063,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,3,14167,aCredito,0.019953815637472123,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,4,12960,<<<<,0.019878586546297185,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,5,35568,илож,0.019635719175110183,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,6,1415,ware,0.018674997719115575,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,7,26497, addCriterion,0.01860873714674365,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,8,26556,noscript,0.018588922284406645,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,9,22587,trimData,0.01830719574797729,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,10,38157, defp,0.018048038002428053,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,11,37418,].(,0.01781708130127114,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,12,18621, testInstances,0.017264299267116926,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,13,26740, poster,0.017234840462999064,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,14,46016,才能,0.017207280433060846,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,15,40546,adium,0.017028610516099666,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,16,14949,__':,0.016840402195576084,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,17,14714,iph,0.01683722500891144,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,18,26409,eness,0.016684401018665116,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,19,42340,lishes,0.0165245131678044,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,20,47540,gunta,0.016417055626395612,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,21,13400,BagConstraints,0.016146703550251582,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,22,41790, unknownFields,0.016105963878972788,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,23,4955,fully,0.016037894606109805,0.005025125628140704
starcoder2-3b,3,last_token,unsafe_higher,24,27603,]-->,0.016022987159846805,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,0,39016,"""%>",-0.020462899929680478,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,1,37140, suporte,-0.01900052275234089,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,2,10730,ок,-0.017766200804187757,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,3,47292, armazenamento,-0.017745935867957186,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,4,40085,ję,-0.0176081648112463,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,5,27987,ultaneous,-0.017361416747072474,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,6,26301,prep,-0.017361018817952066,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,7,48249,ClusterId,-0.017059502767366314,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,8,45901,ological,-0.017057203479320986,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,9,29632,颜,-0.016815677369354576,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,10,38279, ∩,-0.016720934647464082,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,11,33738,금,-0.01624369521530229,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,12,45745,sight,-0.016214156114007356,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,13,2311,ump,-0.016106023738728274,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,14,18951,clusters,-0.016065841895218796,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,15,23651, cook,-0.016063623342385983,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,16,38964,Á,-0.01605176873287073,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,17,33246,assertions,-0.015944389965755302,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,18,41179,cerning,-0.01573960718275111,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,19,18642,ugar,-0.015677566645572186,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,20,10,<jupyter_start>,-0.015623975339087532,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,21,7823,URN,-0.015622294846537748,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,22,39289,charm,-0.015620682029644988,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,23,33855,leasing,-0.015614626076546975,0.005025125628140704
starcoder2-3b,3,last_token,safe_higher,24,5750,ism,-0.015464867868458004,0.005025125628140704
starcoder2-3b,3,sink_arg,unsafe_higher,0,48031, (^)(,0.02083529426773727,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,1,23262, kernelspec,0.017823357525432206,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,2,38898,ENDING,0.017662615888809928,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,3,20403,agento,0.017186486760778434,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,4,7614,Fn,0.017085825842440235,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,5,30727, Fn,0.017071583050391286,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,6,47717,amper,0.016794713424566454,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,7,48924,wrapping,0.01676913687850062,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,8,6360,FD,0.016764425245456627,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,9,23895,guess,0.016708401289736184,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,10,2176,lt,0.016569833524729183,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,11,43219,lage,0.016514243663007265,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,12,33514,trailing,0.016462948329508436,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,13,29535, Hy,0.01631902111773586,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,14,4240,�,0.016243409465823557,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,15,15394,Hy,0.016236182724936283,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,16,33380,{}{},0.01603940090208757,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,17,33469,binder,0.015976965212624653,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,18,368,th,0.015949855132085283,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,19,39637,tende,0.015822218476672565,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,20,1946,ove,0.015586663681223726,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,21,27189,esterday,0.015547303564619717,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,22,27390,whitelist,0.015355202972416878,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,23,4155,record,0.01534175109699206,0.0
starcoder2-3b,3,sink_arg,unsafe_higher,24,34013,Following,0.01529235790379872,0.0
starcoder2-3b,3,sink_arg,safe_higher,0,17015,selves,-0.022641388761021956,0.0
starcoder2-3b,3,sink_arg,safe_higher,1,45579,getByte,-0.019118493459714437,0.0
starcoder2-3b,3,sink_arg,safe_higher,2,25086, tmpvar,-0.01889300005457803,0.0
starcoder2-3b,3,sink_arg,safe_higher,3,23537,gressive,-0.01819127425007509,0.0
starcoder2-3b,3,sink_arg,safe_higher,4,48314,azi,-0.018151071093625216,0.0
starcoder2-3b,3,sink_arg,safe_higher,5,42542,POSITORY,-0.0181152085187963,0.0
starcoder2-3b,3,sink_arg,safe_higher,6,31886,stors,-0.017937818077676675,0.0
starcoder2-3b,3,sink_arg,safe_higher,7,37397,USN,-0.017909325483831222,0.0
starcoder2-3b,3,sink_arg,safe_higher,8,16124,VICES,-0.01777256014144448,0.0
starcoder2-3b,3,sink_arg,safe_higher,9,24494,针,-0.017705037378472357,0.0
starcoder2-3b,3,sink_arg,safe_higher,10,31478,SIMD,-0.017701505631719256,0.0
starcoder2-3b,3,sink_arg,safe_higher,11,9361,EVL,-0.017498247080530993,0.0
starcoder2-3b,3,sink_arg,safe_higher,12,48912,...>,-0.017486832898586966,0.0
starcoder2-3b,3,sink_arg,safe_higher,13,27827,lassian,-0.01741635179773462,0.0
starcoder2-3b,3,sink_arg,safe_higher,14,45366,SRAM,-0.017307949442551478,0.0
