model,base_id,split,arm,binding,cell,style,variant,question,kind,correct_pole,inner_token,outer_token,logp_inner,logp_outer,margin_inner,margin_correct,says_inner,correct,argmax_token,argmax_is_a_choice,n_prompt_tokens,question_text
deepseek-coder-1.3b,base_0000,calib,ba,source,ba_source,shadow,direct,shadow/direct,word,outer,5336,637,-1.2058491706848145,-0.713005542755127,-0.4928436279296875,0.4928436279296875,0,1,637,1,34,"
# Question: is z shadowed inside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0000,calib,ba,target,ba_target,shadow,direct,shadow/direct,word,inner,5336,637,-1.187772512435913,-0.7287156581878662,-0.4590568542480469,-0.4590568542480469,0,0,637,1,34,"
# Question: is z shadowed inside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,shadow,swapped,shadow/swapped,word,outer,637,5336,-0.8505847454071045,-1.1635996103286743,0.3130148649215698,-0.3130148649215698,1,0,637,1,36,"
# Question: does f return the z from outside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0000,calib,ab,target,ab_target,shadow,swapped,shadow/swapped,word,inner,637,5336,-0.8336115479469299,-1.1571424007415771,0.3235308527946472,0.3235308527946472,1,1,637,1,36,"
# Question: does f return the z from outside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0000,calib,ba,source,ba_source,shadow,swapped,shadow/swapped,word,outer,637,5336,-0.8729712963104248,-1.124220371246338,0.2512490749359131,-0.2512490749359131,1,0,637,1,36,"
# Question: does f return the z from outside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0000,calib,ba,target,ba_target,shadow,swapped,shadow/swapped,word,inner,637,5336,-0.8435672521591187,-1.1400495767593384,0.2964823246002197,0.2964823246002197,1,1,637,1,36,"
# Question: does f return the z from outside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0000,calib,ab,source,ab_source,value,direct,value/direct,value,outer,19,17,-2.235934257507324,-0.3787889778614044,-1.8571452796459198,1.8571452796459198,0,1,17,1,21,"
assert f() == "
deepseek-coder-1.3b,base_0000,calib,ab,target,ab_target,value,direct,value/direct,value,inner,19,17,-0.8057624101638794,-0.6336013078689575,-0.17216110229492188,-0.17216110229492188,0,0,17,1,21,"
assert f() == "
deepseek-coder-1.3b,base_0000,calib,ba,source,ba_source,value,direct,value/direct,value,outer,17,19,-3.2943012714385986,-0.2976466715335846,-2.996654599905014,2.996654599905014,0,1,19,1,21,"
assert f() == "
deepseek-coder-1.3b,base_0000,calib,ba,target,ba_target,value,direct,value/direct,value,inner,17,19,-0.7465706467628479,-0.6797218918800354,-0.0668487548828125,-0.0668487548828125,0,0,19,1,21,"
assert f() == "
deepseek-coder-1.3b,base_0001,test,ab,source,ab_source,scope,direct,scope/direct,word,outer,4640,4871,-1.892454981803894,-1.5167282819747925,-0.37572669982910156,0.37572669982910156,0,1,4871,1,35,"
# Question: does f return the j assigned inside f or outside f? Answer:"
deepseek-coder-1.3b,base_0001,test,ab,target,ab_target,scope,direct,scope/direct,word,inner,4640,4871,-1.7699884176254272,-1.5081208944320679,-0.2618675231933594,-0.2618675231933594,0,0,4871,1,35,"
# Question: does f return the j assigned inside f or outside f? Answer:"
deepseek-coder-1.3b,base_0001,test,ba,source,ba_source,scope,direct,scope/direct,word,outer,4640,4871,-1.8986527919769287,-1.5054376125335693,-0.3932151794433594,0.3932151794433594,0,1,4871,1,35,"
# Question: does f return the j assigned inside f or outside f? Answer:"
deepseek-coder-1.3b,base_0001,test,ba,target,ba_target,scope,direct,scope/direct,word,inner,4640,4871,-1.8007594347000122,-1.4912482500076294,-0.3095111846923828,-0.3095111846923828,0,0,4871,1,35,"
# Question: does f return the j assigned inside f or outside f? Answer:"
deepseek-coder-1.3b,base_0001,test,ab,source,ab_source,scope,swapped,scope/swapped,word,outer,4640,4871,-0.9859118461608887,-2.49464750289917,1.5087356567382812,-1.5087356567382812,1,0,4640,1,35,"
# Question: does f return the j assigned outside f or inside f? Answer:"
deepseek-coder-1.3b,base_0001,test,ab,target,ab_target,scope,swapped,scope/swapped,word,inner,4640,4871,-0.9797698855400085,-2.331437349319458,1.3516674637794495,1.3516674637794495,1,1,4640,1,35,"
# Question: does f return the j assigned outside f or inside f? Answer:"
deepseek-coder-1.3b,base_0001,test,ba,source,ba_source,scope,swapped,scope/swapped,word,outer,4640,4871,-0.9642916917800903,-2.503035545349121,1.5387438535690308,-1.5387438535690308,1,0,4640,1,35,"
# Question: does f return the j assigned outside f or inside f? Answer:"
deepseek-coder-1.3b,base_0001,test,ba,target,ba_target,scope,swapped,scope/swapped,word,inner,4640,4871,-0.9527071714401245,-2.3470458984375,1.3943387269973755,1.3943387269973755,1,1,4640,1,35,"
# Question: does f return the j assigned outside f or inside f? Answer:"
deepseek-coder-1.3b,base_0001,test,ab,source,ab_source,binding,direct,binding/direct,word,outer,9526,12915,-0.5506082773208618,-1.1377512216567993,0.5871429443359375,-0.5871429443359375,1,0,9526,1,35,"
# Question: does f return the inner j or the outer j? Answer: the"
deepseek-coder-1.3b,base_0001,test,ab,target,ab_target,binding,direct,binding/direct,word,inner,9526,12915,-0.4307674467563629,-1.3447264432907104,0.9139589965343475,0.9139589965343475,1,1,9526,1,35,"
# Question: does f return the inner j or the outer j? Answer: the"
deepseek-coder-1.3b,base_0001,test,ba,source,ba_source,binding,direct,binding/direct,word,outer,9526,12915,-0.5452634692192078,-1.1482875347137451,0.6030240654945374,-0.6030240654945374,1,0,9526,1,35,"
# Question: does f return the inner j or the outer j? Answer: the"
deepseek-coder-1.3b,base_0001,test,ba,target,ba_target,binding,direct,binding/direct,word,inner,9526,12915,-0.41437914967536926,-1.3896536827087402,0.975274533033371,0.975274533033371,1,1,9526,1,35,"
# Question: does f return the inner j or the outer j? Answer: the"
deepseek-coder-1.3b,base_0001,test,ab,source,ab_source,binding,swapped,binding/swapped,word,outer,9526,12915,-0.38385921716690063,-1.4380650520324707,1.05420583486557,-1.05420583486557,1,0,9526,1,35,"
# Question: does f return the outer j or the inner j? Answer: the"
deepseek-coder-1.3b,base_0001,test,ab,target,ab_target,binding,swapped,binding/swapped,word,inner,9526,12915,-0.3318174183368683,-1.5586140155792236,1.2267965972423553,1.2267965972423553,1,1,9526,1,35,"
# Question: does f return the outer j or the inner j? Answer: the"
deepseek-coder-1.3b,base_0001,test,ba,source,ba_source,binding,swapped,binding/swapped,word,outer,9526,12915,-0.38533133268356323,-1.4263622760772705,1.0410309433937073,-1.0410309433937073,1,0,9526,1,35,"
# Question: does f return the outer j or the inner j? Answer: the"
deepseek-coder-1.3b,base_0001,test,ba,target,ba_target,binding,swapped,binding/swapped,word,inner,9526,12915,-0.29899296164512634,-1.6589998006820679,1.3600068390369415,1.3600068390369415,1,1,9526,1,35,"
# Question: does f return the outer j or the inner j? Answer: the"
deepseek-coder-1.3b,base_0001,test,ab,source,ab_source,pyscope,direct,pyscope/direct,word,outer,2291,5160,-0.9201151132583618,-2.0098767280578613,1.0897616147994995,-1.0897616147994995,1,0,2291,1,33,"
# Question: is the j returned by f local or global? Answer:"
deepseek-coder-1.3b,base_0001,test,ab,target,ab_target,pyscope,direct,pyscope/direct,word,inner,2291,5160,-0.8606170415878296,-2.0497822761535645,1.1891652345657349,1.1891652345657349,1,1,2291,1,33,"
# Question: is the j returned by f local or global? Answer:"
deepseek-coder-1.3b,base_0001,test,ba,source,ba_source,pyscope,direct,pyscope/direct,word,outer,2291,5160,-0.8729043006896973,-2.067038059234619,1.1941337585449219,-1.1941337585449219,1,0,2291,1,33,"
# Question: is the j returned by f local or global? Answer:"
deepseek-coder-1.3b,base_0001,test,ba,target,ba_target,pyscope,direct,pyscope/direct,word,inner,2291,5160,-0.8399990797042847,-2.0760202407836914,1.2360211610794067,1.2360211610794067,1,1,2291,1,33,"
# Question: is the j returned by f local or global? Answer:"
deepseek-coder-1.3b,base_0001,test,ab,source,ab_source,pyscope,swapped,pyscope/swapped,word,outer,2291,5160,-0.724595308303833,-2.612380266189575,1.8877849578857422,-1.8877849578857422,1,0,2291,1,33,"
# Question: is the j returned by f global or local? Answer:"
deepseek-coder-1.3b,base_0001,test,ab,target,ab_target,pyscope,swapped,pyscope/swapped,word,inner,2291,5160,-0.6663809418678284,-2.7439279556274414,2.077547013759613,2.077547013759613,1,1,2291,1,33,"
# Question: is the j returned by f global or local? Answer:"
deepseek-coder-1.3b,base_0001,test,ba,source,ba_source,pyscope,swapped,pyscope/swapped,word,outer,2291,5160,-0.6928210258483887,-2.663817882537842,1.9709968566894531,-1.9709968566894531,1,0,2291,1,33,"
# Question: is the j returned by f global or local? Answer:"
deepseek-coder-1.3b,base_0001,test,ba,target,ba_target,pyscope,swapped,pyscope/swapped,word,inner,2291,5160,-0.6257592439651489,-2.876565933227539,2.25080668926239,2.25080668926239,1,1,2291,1,33,"
# Question: is the j returned by f global or local? Answer:"
deepseek-coder-1.3b,base_0001,test,ab,source,ab_source,shadow,direct,shadow/direct,word,outer,5336,637,-1.2818284034729004,-0.6660428643226624,-0.615785539150238,0.615785539150238,0,1,637,1,34,"
# Question: is j shadowed inside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0001,test,ab,target,ab_target,shadow,direct,shadow/direct,word,inner,5336,637,-1.3018665313720703,-0.6357737183570862,-0.6660928130149841,-0.6660928130149841,0,0,637,1,34,"
# Question: is j shadowed inside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0001,test,ba,source,ba_source,shadow,direct,shadow/direct,word,outer,5336,637,-1.312761664390564,-0.6444543600082397,-0.6683073043823242,0.6683073043823242,0,1,637,1,34,"
# Question: is j shadowed inside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0001,test,ba,target,ba_target,shadow,direct,shadow/direct,word,inner,5336,637,-1.3468058109283447,-0.6084310412406921,-0.7383747696876526,-0.7383747696876526,0,0,637,1,34,"
# Question: is j shadowed inside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0001,test,ab,source,ab_source,shadow,swapped,shadow/swapped,word,outer,637,5336,-0.8321349620819092,-1.216801404953003,0.38466644287109375,-0.38466644287109375,1,0,637,1,36,"
# Question: does f return the j from outside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0001,test,ab,target,ab_target,shadow,swapped,shadow/swapped,word,inner,637,5336,-0.7751009464263916,-1.2694429159164429,0.49434196949005127,0.49434196949005127,1,1,637,1,36,"
# Question: does f return the j from outside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0001,test,ba,source,ba_source,shadow,swapped,shadow/swapped,word,outer,637,5336,-0.8112296462059021,-1.2419962882995605,0.43076664209365845,-0.43076664209365845,1,0,637,1,36,"
# Question: does f return the j from outside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0001,test,ba,target,ba_target,shadow,swapped,shadow/swapped,word,inner,637,5336,-0.7394464612007141,-1.323859453201294,0.5844129920005798,0.5844129920005798,1,1,637,1,36,"
# Question: does f return the j from outside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0001,test,ab,source,ab_source,value,direct,value/direct,value,outer,17,18,-2.580904006958008,-0.48083293437957764,-2.10007107257843,2.10007107257843,0,1,18,1,21,"
assert f() == "
deepseek-coder-1.3b,base_0001,test,ab,target,ab_target,value,direct,value/direct,value,inner,17,18,-0.7342175841331482,-0.7592725157737732,0.025054931640625,0.025054931640625,1,1,17,1,21,"
assert f() == "
deepseek-coder-1.3b,base_0001,test,ba,source,ba_source,value,direct,value/direct,value,outer,18,17,-1.5835299491882324,-0.45287472009658813,-1.1306552290916443,1.1306552290916443,0,1,17,1,21,"
assert f() == "
deepseek-coder-1.3b,base_0001,test,ba,target,ba_target,value,direct,value/direct,value,inner,18,17,-0.17188237607479095,-1.9498889446258545,1.7780065685510635,1.7780065685510635,1,1,18,1,21,"
assert f() == "
deepseek-coder-1.3b,base_0002,calib,ab,source,ab_source,scope,direct,scope/direct,word,outer,4640,4871,-1.7107243537902832,-1.344862461090088,-0.3658618927001953,0.3658618927001953,0,1,4871,1,35,"
# Question: does f return the v assigned inside f or outside f? Answer:"
deepseek-coder-1.3b,base_0002,calib,ab,target,ab_target,scope,direct,scope/direct,word,inner,4640,4871,-1.6889580488204956,-1.4575718641281128,-0.2313861846923828,-0.2313861846923828,0,0,4871,1,35,"
# Question: does f return the v assigned inside f or outside f? Answer:"
deepseek-coder-1.3b,base_0002,calib,ba,source,ba_source,scope,direct,scope/direct,word,outer,4640,4871,-1.7488888502120972,-1.331053614616394,-0.4178352355957031,0.4178352355957031,0,1,4871,1,35,"
# Question: does f return the v assigned inside f or outside f? Answer:"
deepseek-coder-1.3b,base_0002,calib,ba,target,ba_target,scope,direct,scope/direct,word,inner,4640,4871,-1.7281405925750732,-1.4757297039031982,-0.252410888671875,-0.252410888671875,0,0,4871,1,35,"
# Question: does f return the v assigned inside f or outside f? Answer:"
deepseek-coder-1.3b,base_0002,calib,ab,source,ab_source,scope,swapped,scope/swapped,word,outer,4640,4871,-0.7963671684265137,-2.4563002586364746,1.659933090209961,-1.659933090209961,1,0,4640,1,35,"
# Question: does f return the v assigned outside f or inside f? Answer:"
deepseek-coder-1.3b,base_0002,calib,ab,target,ab_target,scope,swapped,scope/swapped,word,inner,4640,4871,-0.8403107523918152,-2.4073007106781006,1.5669899582862854,1.5669899582862854,1,1,4640,1,35,"
# Question: does f return the v assigned outside f or inside f? Answer:"
deepseek-coder-1.3b,base_0002,calib,ba,source,ba_source,scope,swapped,scope/swapped,word,outer,4640,4871,-0.829059362411499,-2.393514394760132,1.5644550323486328,-1.5644550323486328,1,0,4640,1,35,"
# Question: does f return the v assigned outside f or inside f? Answer:"
deepseek-coder-1.3b,base_0002,calib,ba,target,ba_target,scope,swapped,scope/swapped,word,inner,4640,4871,-0.8646208047866821,-2.401716709136963,1.5370959043502808,1.5370959043502808,1,1,4640,1,35,"
# Question: does f return the v assigned outside f or inside f? Answer:"
deepseek-coder-1.3b,base_0002,calib,ab,source,ab_source,binding,direct,binding/direct,word,outer,9526,12915,-0.6199109554290771,-0.9959442615509033,0.37603330612182617,-0.37603330612182617,1,0,9526,1,35,"
# Question: does f return the inner v or the outer v? Answer: the"
deepseek-coder-1.3b,base_0002,calib,ab,target,ab_target,binding,direct,binding/direct,word,inner,9526,12915,-0.4746391475200653,-1.2204768657684326,0.7458377182483673,0.7458377182483673,1,1,9526,1,35,"
# Question: does f return the inner v or the outer v? Answer: the"
deepseek-coder-1.3b,base_0002,calib,ba,source,ba_source,binding,direct,binding/direct,word,outer,9526,12915,-0.6464816927909851,-0.9677836298942566,0.3213019371032715,-0.3213019371032715,1,0,9526,1,35,"
# Question: does f return the inner v or the outer v? Answer: the"
deepseek-coder-1.3b,base_0002,calib,ba,target,ba_target,binding,direct,binding/direct,word,inner,9526,12915,-0.4698905944824219,-1.2542243003845215,0.7843337059020996,0.7843337059020996,1,1,9526,1,35,"
# Question: does f return the inner v or the outer v? Answer: the"
deepseek-coder-1.3b,base_0002,calib,ab,source,ab_source,binding,swapped,binding/swapped,word,outer,9526,12915,-0.5340405702590942,-1.0740412473678589,0.5400006771087646,-0.5400006771087646,1,0,9526,1,35,"
# Question: does f return the outer v or the inner v? Answer: the"
deepseek-coder-1.3b,base_0002,calib,ab,target,ab_target,binding,swapped,binding/swapped,word,inner,9526,12915,-0.4469641447067261,-1.2242001295089722,0.7772359848022461,0.7772359848022461,1,1,9526,1,35,"
# Question: does f return the outer v or the inner v? Answer: the"
deepseek-coder-1.3b,base_0002,calib,ba,source,ba_source,binding,swapped,binding/swapped,word,outer,9526,12915,-0.5244620442390442,-1.0978355407714844,0.5733734965324402,-0.5733734965324402,1,0,9526,1,35,"
# Question: does f return the outer v or the inner v? Answer: the"
deepseek-coder-1.3b,base_0002,calib,ba,target,ba_target,binding,swapped,binding/swapped,word,inner,9526,12915,-0.4264189302921295,-1.2834792137145996,0.8570602834224701,0.8570602834224701,1,1,9526,1,35,"
# Question: does f return the outer v or the inner v? Answer: the"
deepseek-coder-1.3b,base_0002,calib,ab,source,ab_source,pyscope,direct,pyscope/direct,word,outer,2291,5160,-0.9434603452682495,-1.865268588066101,0.9218082427978516,-0.9218082427978516,1,0,2291,1,33,"
# Question: is the v returned by f local or global? Answer:"
deepseek-coder-1.3b,base_0002,calib,ab,target,ab_target,pyscope,direct,pyscope/direct,word,inner,2291,5160,-0.9406768083572388,-1.9511901140213013,1.0105133056640625,1.0105133056640625,1,1,2291,1,33,"
# Question: is the v returned by f local or global? Answer:"
deepseek-coder-1.3b,base_0002,calib,ba,source,ba_source,pyscope,direct,pyscope/direct,word,outer,2291,5160,-0.9460440874099731,-1.8823119401931763,0.9362678527832031,-0.9362678527832031,1,0,2291,1,33,"
# Question: is the v returned by f local or global? Answer:"
deepseek-coder-1.3b,base_0002,calib,ba,target,ba_target,pyscope,direct,pyscope/direct,word,inner,2291,5160,-0.9486873149871826,-1.9917418956756592,1.0430545806884766,1.0430545806884766,1,1,2291,1,33,"
# Question: is the v returned by f local or global? Answer:"
deepseek-coder-1.3b,base_0002,calib,ab,source,ab_source,pyscope,swapped,pyscope/swapped,word,outer,2291,5160,-0.7248293161392212,-2.527008533477783,1.802179217338562,-1.802179217338562,1,0,2291,1,33,"
# Question: is the v returned by f global or local? Answer:"
deepseek-coder-1.3b,base_0002,calib,ab,target,ab_target,pyscope,swapped,pyscope/swapped,word,inner,2291,5160,-0.7284990549087524,-2.6547627449035645,1.926263689994812,1.926263689994812,1,1,2291,1,33,"
# Question: is the v returned by f global or local? Answer:"
deepseek-coder-1.3b,base_0002,calib,ba,source,ba_source,pyscope,swapped,pyscope/swapped,word,outer,2291,5160,-0.7294749021530151,-2.5536727905273438,1.8241978883743286,-1.8241978883743286,1,0,2291,1,33,"
# Question: is the v returned by f global or local? Answer:"
deepseek-coder-1.3b,base_0002,calib,ba,target,ba_target,pyscope,swapped,pyscope/swapped,word,inner,2291,5160,-0.7255401611328125,-2.7589073181152344,2.033367156982422,2.033367156982422,1,1,2291,1,33,"
# Question: is the v returned by f global or local? Answer:"
deepseek-coder-1.3b,base_0002,calib,ab,source,ab_source,shadow,direct,shadow/direct,word,outer,5336,637,-1.2378661632537842,-0.6586936116218567,-0.5791725516319275,0.5791725516319275,0,1,637,1,34,"
# Question: is v shadowed inside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0002,calib,ab,target,ab_target,shadow,direct,shadow/direct,word,inner,5336,637,-1.202349066734314,-0.6756891012191772,-0.5266599655151367,-0.5266599655151367,0,0,637,1,34,"
# Question: is v shadowed inside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0002,calib,ba,source,ba_source,shadow,direct,shadow/direct,word,outer,5336,637,-1.2900850772857666,-0.6390254497528076,-0.651059627532959,0.651059627532959,0,1,637,1,34,"
# Question: is v shadowed inside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0002,calib,ba,target,ba_target,shadow,direct,shadow/direct,word,inner,5336,637,-1.2621999979019165,-0.6558653116226196,-0.6063346862792969,-0.6063346862792969,0,0,637,1,34,"
# Question: is v shadowed inside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0002,calib,ab,source,ab_source,shadow,swapped,shadow/swapped,word,outer,637,5336,-0.8108681440353394,-1.159035563468933,0.34816741943359375,-0.34816741943359375,1,0,637,1,36,"
# Question: does f return the v from outside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0002,calib,ab,target,ab_target,shadow,swapped,shadow/swapped,word,inner,637,5336,-0.8147397637367249,-1.123528003692627,0.3087882399559021,0.3087882399559021,1,1,637,1,36,"
# Question: does f return the v from outside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0002,calib,ba,source,ba_source,shadow,swapped,shadow/swapped,word,outer,637,5336,-0.7806433439254761,-1.2313505411148071,0.45070719718933105,-0.45070719718933105,1,0,637,1,36,"
# Question: does f return the v from outside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0002,calib,ba,target,ba_target,shadow,swapped,shadow/swapped,word,inner,637,5336,-0.7854549884796143,-1.2108098268508911,0.42535483837127686,0.42535483837127686,1,1,637,1,36,"
# Question: does f return the v from outside f (yes/no)? Answer:"
deepseek-coder-1.3b,base_0002,calib,ab,source,ab_source,value,direct,value/direct,value,outer,20,21,-1.5871281623840332,-0.30817458033561707,-1.2789535820484161,1.2789535820484161,0,1,21,1,21,"
assert f() == "
deepseek-coder-1.3b,base_0002,calib,ab,target,ab_target,value,direct,value/direct,value,inner,20,21,-0.4582958519458771,-1.0226764678955078,0.5643806159496307,0.5643806159496307,1,1,20,1,21,"
assert f() == "
deepseek-coder-1.3b,base_0002,calib,ba,source,ba_source,value,direct,value/direct,value,outer,21,20,-1.8913230895996094,-0.220551535487175,-1.6707715541124344,1.6707715541124344,0,1,20,1,21,"
assert f() == "
