model,layer,direction,rank,token_id,token,meaning,in_lexicon
deepseek-coder-1.3b,0,negative,10,9568,anta,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,11,5247,ços,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,12,5200,",--",higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,13,17916,Tw,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,14,31426,getMessage,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,15,9180, messages,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,16,3624, link,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,17,2353,alt,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,18,6615, errors,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,19,26297,}.},higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,20,24881,messages,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,21,26075,overflow,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,22,14303,izz,higher under the OUTER binding,0
deepseek-coder-1.3b,0,negative,23,5390,Message,higher under the OUTER binding,0
deepseek-coder-1.3b,11,positive,0,5588, thous,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,1,25569, passat,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,2,11265,ools,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,3,18245,amaz,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,4,19120,多个,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,5,31348, Puig,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,6,5165, remember,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,7,10145,arios,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,8,14636,irl,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,9,10887,箱,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,10,4103,uns,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,11,16199, passes,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,12,8174,standing,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,13,21196,вител,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,14,7738,ometry,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,15,10728,kins,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,16,19067, emails,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,17,28100, coberta,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,18,22007,rir,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,19,19424,urbed,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,20,10571, experiences,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,21,21397,autilus,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,22,24496, crowded,higher under the INNER binding,0
deepseek-coder-1.3b,11,positive,23,134,�,higher under the INNER binding,0
deepseek-coder-1.3b,11,negative,0,23690,Listen,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,1,26098,Switch,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,2,28827, punch,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,3,17988, shade,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,4,13719,Decl,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,5,25496," '""",higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,6,17293,yo,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,7,15207," """"",higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,8,14869,дове,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,9,25840, Begin,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,10,1411,cond,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,11,16130,TABLE,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,12,28791, cardinal,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,13,15713,sed,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,14,26446, наре,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,15,21187, inclusion,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,16,30354,dispatch,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,17,27772,Timer,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,18,22229,Begin,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,19,27519,rade,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,20,29522,".'""",higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,21,23621,oport,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,22,15020,Cond,higher under the OUTER binding,0
deepseek-coder-1.3b,11,negative,23,1957,reen,higher under the OUTER binding,0
deepseek-coder-1.3b,15,positive,0,9702, destroy,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,1,17806,ividual,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,2,19238,icals,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,3,22472,destroy,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,4,21247,rena,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,5,10392,irty,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,6,2130,只,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,7,17173,不再,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,8,22267,native,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,9,1400,ms,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,10,27884,释放,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,11,26266, cambiar,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,12,20352, edició,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,13,19409,多次,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,14,1421,ton,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,15,4278, date,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,16,15490,扎,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,17,12769,尾,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,18,30974, considerar,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,19,23190, Hills,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,20,13987,刀,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,21,28800, Mississippi,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,22,7319, instant,higher under the INNER binding,0
deepseek-coder-1.3b,15,positive,23,28620,ounters,higher under the INNER binding,0
deepseek-coder-1.3b,15,negative,0,5669, former,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,1,7320, latter,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,2,16947,Both,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,3,16471,both,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,4,9853, Both,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,5,26376, оба,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,6,1564, both,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,7,24905,either,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,8,23869,together,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,9,29411, близо,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,10,9353,second,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,11,2052,ither,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,12,16449,Theorem,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,13,19884, Север,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,14,23093,ugu,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,15,29754, ВМ,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,16,20979,Amb,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,17,27499, Между,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,18,19006, север,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,19,27870,vex,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,20,7289,fortun,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,21,28266, Neither,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,22,18286, joc,higher under the OUTER binding,0
deepseek-coder-1.3b,15,negative,23,1856, second,higher under the OUTER binding,1
deepseek-coder-1.3b,19,positive,0,13770,onda,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,1,3630,itten,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,2,28149,Created,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,3,27962,Updated,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,4,7992, updated,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,5,15816,Changed,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,6,18204,oping,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,7,6406, king,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,8,29149,updated,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,9,28523,lein,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,10,10299,bing,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,11,11576, modified,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,12,14773, deleted,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,13,5452, changed,higher under the INNER binding,1
deepseek-coder-1.3b,19,positive,14,868,��,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,15,19475,created,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,16,16776,iper,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,17,4177, changes,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,18,25480,imore,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,19,16347, destroyed,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,20,4003, created,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,21,11326,iden,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,22,4542,po,higher under the INNER binding,0
deepseek-coder-1.3b,19,positive,23,28402, afterward,higher under the INNER binding,0
deepseek-coder-1.3b,19,negative,0,24905,either,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,1,29411, близо,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,2,2052,ither,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,3,14488,aje,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,4,23869,together,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,5,18105,Try,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,6,22889, senses,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,7,9539,堂,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,8,26376, оба,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,9,16471,both,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,10,17579,respect,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,11,16947,Both,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,12,31416,/*!,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,13,1564, both,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,14,20193,functions,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,15,22601, conject,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,16,26795,Fort,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,17,31003,ApJ,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,18,12894,comment,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,19,28261, Miquel,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,20,12635, Socorro,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,21,3715,eqn,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,22,21283, hopefully,higher under the OUTER binding,0
deepseek-coder-1.3b,19,negative,23,13808,圣,higher under the OUTER binding,0
deepseek-coder-1.3b,23,positive,0,19475,created,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,1,28149,Created,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,2,14328,changed,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,3,15816,Changed,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,4,5452, changed,higher under the INNER binding,1
deepseek-coder-1.3b,23,positive,5,10809,Change,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,6,29149,updated,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,7,16347, destroyed,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,8,26356,changing,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,9,4513,销,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,10,4865,change,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,11,27962,Updated,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,12,4003, created,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,13,22054,changes,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,14,11576, modified,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,15,29208,inici,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,16,11155,改变,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,17,22472,destroy,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,18,7999, changing,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,19,24079,charged,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,20,31076,mutable,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,21,5262,local,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,22,10774,Local,higher under the INNER binding,0
deepseek-coder-1.3b,23,positive,23,16509, Change,higher under the INNER binding,0
deepseek-coder-1.3b,23,negative,0,25428, jury,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,1,10201,òm,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,2,13818, evaluate,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,3,1702,aj,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,4,2698, comput,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,5,12653, evaluation,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,6,22601, conject,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,7,12748, jump,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,8,18871,джи,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,9,12193, Comput,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,10,28172,multline,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,11,11771, compute,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,12,15158, computation,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,13,23285, conjunction,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,14,16957, fetch,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,15,32014,<｜end▁of▁sentence｜>,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,16,18286, joc,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,17,19697, dret,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,18,12313, parse,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,19,182,,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,20,30460, Together,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,21,29411, близо,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,22,5613, evalu,higher under the OUTER binding,0
deepseek-coder-1.3b,23,negative,23,28261, Miquel,higher under the OUTER binding,0
deepseek-coder-1.3b,3,positive,0,27934,DK,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,1,18293,iah,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,2,13281,DM,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,3,28067,uded,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,4,23869,together,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,5,26727,UTO,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,6,11597, Die,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,7,5086,ocol,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,8,24143,die,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,9,2533,ium,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,10,28134,utic,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,11,5805,上的,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,12,15868,ilty,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,13,19675,Cr,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,14,31950,WIN,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,15,9130,ogether,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,16,20348,pip,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,17,31071,CAL,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,18,628,).,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,19,10065,matic,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,20,9929,DW,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,21,10794, Blue,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,22,13053,uction,higher under the INNER binding,0
deepseek-coder-1.3b,3,positive,23,14961,™,higher under the INNER binding,0
deepseek-coder-1.3b,3,negative,0,25767,alesa,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,1,20641, refuge,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,2,4527,hib,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,3,7718, expert,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,4,2992,ocus,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,5,28603,зен,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,6,6260,享,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,7,9698,reference,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,8,31538, Horn,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,9,18189,记得,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,10,12083,Reference,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,11,25036, ns,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,12,19943, nens,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,13,28348,нска,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,14,11453,Stat,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,15,7692,频,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,16,3736,速,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,17,1745,orn,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,18,26445,EEEEFF,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,19,22202,广场,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,20,28779, степен,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,21,20726,Constraint,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,22,22733,原文地址,higher under the OUTER binding,0
deepseek-coder-1.3b,3,negative,23,18399,peg,higher under the OUTER binding,0
deepseek-coder-1.3b,7,positive,0,11400, juny,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,1,6575,widet,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,2,11345,isely,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,3,20576,isson,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,4,29014,idean,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,5,15578,"%""",higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,6,21269, Llu,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,7,28576, fundar,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,8,29812,ertat,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,9,7424,enu,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,10,5664,otes,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,11,31812,whom,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,12,4228,irtual,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,13,9726,eller,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,14,5459, mort,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,15,5722,eny,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,16,25224,fan,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,17,28188, Mallorca,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,18,17287,iph,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,19,12045,ilst,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,20,26588, proclam,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,21,21929, Carles,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,22,15514,ionat,higher under the INNER binding,0
deepseek-coder-1.3b,7,positive,23,26773,odox,higher under the INNER binding,0
deepseek-coder-1.3b,7,negative,0,11066, Moreover,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,1,11146,stop,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,2,3026,rodu,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,3,18209,还会,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,4,20253,Looking,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,5,18567, Additionally,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,6,15180,Xml,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,7,22839,liminary,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,8,17733,incipal,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,9,29169,一直在,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,10,22195, entrar,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,11,11444,oking,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,12,26727,UTO,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,13,6638,inding,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,14,18463, stopping,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,15,18234, participar,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,16,13009,Ang,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,17,24057,Was,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,18,13932,津,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,19,4031, ang,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,20,5088,aste,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,21,17899, Besides,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,22,13824, Indeed,higher under the OUTER binding,0
deepseek-coder-1.3b,7,negative,23,19984,Moreover,higher under the OUTER binding,0
