lens,read,family,concept,n_items,earliest@1,earliest@5,earliest@10,earliest@50,earliest@100
j-lens,call,generic_code,string,224,,,,,
j-lens,call,generic_code,total,224,,,,,
j-lens,call,positional,earlier,224,,,,,3.0
j-lens,call,positional,kept,224,,,,,
j-lens,call,positional,later,224,,,,,7.0
j-lens,call,positional,replaced,224,,,,,
j-lens,call,random_concepts,random_0,224,,,,,
j-lens,call,random_concepts,random_1,224,,,,,
j-lens,call,random_concepts,random_2,224,,,,,
j-lens,post_use,binding_concept,active,224,,,,,
j-lens,post_use,binding_concept,binding,224,,,,,
j-lens,post_use,binding_concept,bound,224,,,,,
j-lens,post_use,binding_concept,definition,224,,,,,3.0
j-lens,post_use,binding_concept,global,224,,,,15.0,7.0
j-lens,post_use,binding_concept,inactive,224,,,,,
j-lens,post_use,binding_concept,inner,224,,,,,
j-lens,post_use,binding_concept,local,224,,,,,28.0
j-lens,post_use,binding_concept,outer,224,,,,,
j-lens,post_use,binding_concept,scope,224,,,,,
j-lens,post_use,binding_concept,scoped,224,,,,,
j-lens,post_use,binding_concept,shadow,224,,,,,
j-lens,post_use,binding_concept,value,224,,,,16.0,13.0
j-lens,post_use,binding_concept,variable,224,,,,,
j-lens,post_use,generic_code,buffer,224,,,,,
j-lens,post_use,generic_code,class,224,,,,,
j-lens,post_use,generic_code,count,224,,,,,
j-lens,post_use,generic_code,error,224,,,,11.0,11.0
j-lens,post_use,generic_code,file,224,,,,,
j-lens,post_use,generic_code,import,224,,,,,
j-lens,post_use,generic_code,index,224,,,,,
j-lens,post_use,generic_code,number,224,,,,,
j-lens,post_use,generic_code,path,224,,,,,
j-lens,post_use,generic_code,print,224,,,,20.0,19.0
j-lens,post_use,generic_code,range,224,,,,,
j-lens,post_use,generic_code,result,224,,,,,16.0
j-lens,post_use,generic_code,return,224,,,,,
j-lens,post_use,generic_code,string,224,,,,27.0,24.0
j-lens,post_use,generic_code,total,224,,,,,
j-lens,post_use,positional,earlier,224,,,,,
j-lens,post_use,positional,kept,224,,,,,
j-lens,post_use,positional,later,224,,,,,
j-lens,post_use,positional,replaced,224,,,,,
j-lens,post_use,random_concepts,random_0,224,,,,,
j-lens,post_use,random_concepts,random_1,224,,,,,
j-lens,post_use,random_concepts,random_2,224,,,,,
j-lens,use,binding_concept,active,224,,,,,
j-lens,use,binding_concept,binding,224,,,,,20.0
j-lens,use,binding_concept,bound,224,,,,,
j-lens,use,binding_concept,definition,224,,,,,21.0
j-lens,use,binding_concept,global,224,,,,21.0,21.0
j-lens,use,binding_concept,inactive,224,,,,,
j-lens,use,binding_concept,inner,224,,,,,
j-lens,use,binding_concept,local,224,,,,,
j-lens,use,binding_concept,outer,224,,,,,
j-lens,use,binding_concept,scope,224,,,,,
j-lens,use,binding_concept,scoped,224,,,,,19.0
j-lens,use,binding_concept,shadow,224,,,,,16.0
j-lens,use,binding_concept,value,224,,,18.0,11.0,10.0
j-lens,use,binding_concept,variable,224,,,10.0,10.0,9.0
j-lens,use,generic_code,buffer,224,,,,,
j-lens,use,generic_code,class,224,,,,,
j-lens,use,generic_code,count,224,,,,,
j-lens,use,generic_code,error,224,,,,,
j-lens,use,generic_code,file,224,,,,,
j-lens,use,generic_code,import,224,,,,,
j-lens,use,generic_code,index,224,,,,,
j-lens,use,generic_code,number,224,,,,,5.0
j-lens,use,generic_code,path,224,,,,,
j-lens,use,generic_code,print,224,,,,18.0,18.0
j-lens,use,generic_code,range,224,,,,,
j-lens,use,generic_code,result,224,,,,,
j-lens,use,generic_code,return,224,,,,,
j-lens,use,generic_code,string,224,,,,,
j-lens,use,generic_code,total,224,,,,17.0,16.0
j-lens,use,positional,earlier,224,,,,2.0,2.0
j-lens,use,positional,kept,224,,,,,
j-lens,use,positional,later,224,,,,,
j-lens,use,positional,replaced,224,,,,,
j-lens,use,random_concepts,random_0,224,,,,,26.0
j-lens,use,random_concepts,random_1,224,,,,,
j-lens,use,random_concepts,random_2,224,,,,,
logit-lens,answer,binding_concept,active,224,,,,,
logit-lens,answer,binding_concept,binding,224,,,,,
logit-lens,answer,binding_concept,bound,224,,,,,
logit-lens,answer,binding_concept,definition,224,,,,,
logit-lens,answer,binding_concept,global,224,,,,,
logit-lens,answer,binding_concept,inactive,224,,,,,
logit-lens,answer,binding_concept,inner,224,,,,,
logit-lens,answer,binding_concept,local,224,,,,,
logit-lens,answer,binding_concept,outer,224,,,,,
logit-lens,answer,binding_concept,scope,224,,,,,
logit-lens,answer,binding_concept,scoped,224,,,,,16.0
logit-lens,answer,binding_concept,shadow,224,,,,,3.0
logit-lens,answer,binding_concept,value,224,,,,,18.0
logit-lens,answer,binding_concept,variable,224,,,,,
logit-lens,answer,generic_code,buffer,224,,,,,
logit-lens,answer,generic_code,class,224,,,,,
logit-lens,answer,generic_code,count,224,,,,,
logit-lens,answer,generic_code,error,224,,,,14.0,13.0
logit-lens,answer,generic_code,file,224,,,,,
logit-lens,answer,generic_code,import,224,,,,,
logit-lens,answer,generic_code,index,224,,,,,
logit-lens,answer,generic_code,number,224,,,,,
logit-lens,answer,generic_code,path,224,,,,,
logit-lens,answer,generic_code,print,224,,,,11.0,8.0
logit-lens,answer,generic_code,range,224,,,,,
logit-lens,answer,generic_code,result,224,,,,,
logit-lens,answer,generic_code,return,224,,,,,19.0
logit-lens,answer,generic_code,string,224,,,,,19.0
logit-lens,answer,generic_code,total,224,,,,,9.0
logit-lens,answer,positional,earlier,224,,,,,
logit-lens,answer,positional,kept,224,,,,,
logit-lens,answer,positional,later,224,,,,,
logit-lens,answer,positional,replaced,224,,,,,
logit-lens,answer,random_concepts,random_0,224,,,,,
logit-lens,answer,random_concepts,random_1,224,,,,,
logit-lens,answer,random_concepts,random_2,224,,,,,
logit-lens,call,binding_concept,active,224,,,,,
logit-lens,call,binding_concept,binding,224,,,,5.0,3.0
logit-lens,call,binding_concept,bound,224,,,,,
logit-lens,call,binding_concept,definition,224,,,,,
logit-lens,call,binding_concept,global,224,,,,,
logit-lens,call,binding_concept,inactive,224,,,,,
logit-lens,call,binding_concept,inner,224,,,,,
logit-lens,call,binding_concept,local,224,,,,,
logit-lens,call,binding_concept,outer,224,,,,,
logit-lens,call,binding_concept,scope,224,,,,,
logit-lens,call,binding_concept,scoped,224,,,,,
logit-lens,call,binding_concept,shadow,224,,,,,
logit-lens,call,binding_concept,value,224,,,,19.0,19.0
logit-lens,call,binding_concept,variable,224,,,,,17.0
logit-lens,call,generic_code,buffer,224,,,,,
logit-lens,call,generic_code,class,224,,,,,
logit-lens,call,generic_code,count,224,,,,,
logit-lens,call,generic_code,error,224,,,,,
logit-lens,call,generic_code,file,224,,,,,
logit-lens,call,generic_code,import,224,,,,,
logit-lens,call,generic_code,index,224,,,,,
logit-lens,call,generic_code,number,224,,,,,
logit-lens,call,generic_code,path,224,,,,,
logit-lens,call,generic_code,print,224,,,,24.0,24.0
logit-lens,call,generic_code,range,224,,,,,
logit-lens,call,generic_code,result,224,,,,,
logit-lens,call,generic_code,return,224,,,,,
logit-lens,call,generic_code,string,224,,,,,
logit-lens,call,generic_code,total,224,,,,,
logit-lens,call,positional,earlier,224,,,,,
logit-lens,call,positional,kept,224,,,,,
logit-lens,call,positional,later,224,,,,,
logit-lens,call,positional,replaced,224,,,,,
logit-lens,call,random_concepts,random_0,224,,,,,
logit-lens,call,random_concepts,random_1,224,,,,,
logit-lens,call,random_concepts,random_2,224,,,,,
logit-lens,post_use,binding_concept,active,224,,,,,
logit-lens,post_use,binding_concept,binding,224,,,,,
logit-lens,post_use,binding_concept,bound,224,,,,,
logit-lens,post_use,binding_concept,definition,224,,,,,
logit-lens,post_use,binding_concept,global,224,,,,13.0,8.0
logit-lens,post_use,binding_concept,inactive,224,,,,,
logit-lens,post_use,binding_concept,inner,224,,,,,
logit-lens,post_use,binding_concept,local,224,,,,,27.0
logit-lens,post_use,binding_concept,outer,224,,,,,
logit-lens,post_use,binding_concept,scope,224,,,,,
logit-lens,post_use,binding_concept,scoped,224,,,,,
logit-lens,post_use,binding_concept,shadow,224,,,,,
logit-lens,post_use,binding_concept,value,224,,,,,
logit-lens,post_use,binding_concept,variable,224,,,,,
logit-lens,post_use,generic_code,buffer,224,,,,,
logit-lens,post_use,generic_code,class,224,,,,,
logit-lens,post_use,generic_code,count,224,,,,,
logit-lens,post_use,generic_code,error,224,,,,,
logit-lens,post_use,generic_code,file,224,,,,,
logit-lens,post_use,generic_code,import,224,,,,,
logit-lens,post_use,generic_code,index,224,,,,,
logit-lens,post_use,generic_code,number,224,,,,,
logit-lens,post_use,generic_code,path,224,,,,,
logit-lens,post_use,generic_code,print,224,,,,28.0,21.0
logit-lens,post_use,generic_code,range,224,,,,,
logit-lens,post_use,generic_code,result,224,,,,,21.0
logit-lens,post_use,generic_code,return,224,,,,,
logit-lens,post_use,generic_code,string,224,,,,25.0,22.0
logit-lens,post_use,generic_code,total,224,,,,,
logit-lens,post_use,positional,earlier,224,,,,,
logit-lens,post_use,positional,kept,224,,,,,
logit-lens,post_use,positional,later,224,,,,,
logit-lens,post_use,positional,replaced,224,,,,,
logit-lens,post_use,random_concepts,random_0,224,,,,,
logit-lens,post_use,random_concepts,random_1,224,,,,,18.0
logit-lens,post_use,random_concepts,random_2,224,,,,,
logit-lens,use,binding_concept,active,224,,,,,
logit-lens,use,binding_concept,binding,224,,,,,
logit-lens,use,binding_concept,bound,224,,,,,
logit-lens,use,binding_concept,definition,224,,,,22.0,19.0
logit-lens,use,binding_concept,global,224,,,,21.0,21.0
logit-lens,use,binding_concept,inactive,224,,,,,
logit-lens,use,binding_concept,inner,224,,,,,
logit-lens,use,binding_concept,local,224,,,,,
logit-lens,use,binding_concept,outer,224,,,,,
logit-lens,use,binding_concept,scope,224,,,,,
logit-lens,use,binding_concept,scoped,224,,,,,
logit-lens,use,binding_concept,shadow,224,,,,,
logit-lens,use,binding_concept,value,224,,,,,
logit-lens,use,binding_concept,variable,224,,,,18.0,18.0
logit-lens,use,generic_code,buffer,224,,,,,
logit-lens,use,generic_code,class,224,,,,,
logit-lens,use,generic_code,count,224,,,,,
logit-lens,use,generic_code,error,224,,,,,
logit-lens,use,generic_code,file,224,,,,,
logit-lens,use,generic_code,import,224,,,,,
logit-lens,use,generic_code,index,224,,,,,
logit-lens,use,generic_code,number,224,,,,,
logit-lens,use,generic_code,path,224,,,,,
logit-lens,use,generic_code,print,224,,,,,19.0
logit-lens,use,generic_code,range,224,,,,,
logit-lens,use,generic_code,result,224,,,,,
logit-lens,use,generic_code,return,224,,,,,
logit-lens,use,generic_code,string,224,,,,,
logit-lens,use,generic_code,total,224,,,,,6.0
logit-lens,use,positional,earlier,224,,,,,
logit-lens,use,positional,kept,224,,,,,
logit-lens,use,positional,later,224,,,,,
logit-lens,use,positional,replaced,224,,,,,
logit-lens,use,random_concepts,random_0,224,,,,,
logit-lens,use,random_concepts,random_1,224,,,,,
logit-lens,use,random_concepts,random_2,224,,,,,
r-lens,answer,binding_concept,active,224,,,,,
r-lens,answer,binding_concept,binding,224,,,,,
r-lens,answer,binding_concept,bound,224,,,,,
r-lens,answer,binding_concept,definition,224,,,,14.0,14.0
r-lens,answer,binding_concept,global,224,,,,14.0,14.0
r-lens,answer,binding_concept,inactive,224,,2.0,2.0,0.0,0.0
r-lens,answer,binding_concept,inner,224,,,,,
r-lens,answer,binding_concept,local,224,,,,,
r-lens,answer,binding_concept,outer,224,,,,,
r-lens,answer,binding_concept,scope,224,,,,,
r-lens,answer,binding_concept,scoped,224,,,,,15.0
r-lens,answer,binding_concept,shadow,224,,,,,
r-lens,answer,binding_concept,value,224,,18.0,18.0,18.0,16.0
r-lens,answer,binding_concept,variable,224,,,,,
r-lens,answer,generic_code,buffer,224,,,,,
r-lens,answer,generic_code,class,224,,,,,
r-lens,answer,generic_code,count,224,,,,,
r-lens,answer,generic_code,error,224,,,,,27.0
r-lens,answer,generic_code,file,224,,,,,
r-lens,answer,generic_code,import,224,,,,,
r-lens,answer,generic_code,index,224,,,,,
r-lens,answer,generic_code,number,224,,,,17.0,15.0
r-lens,answer,generic_code,path,224,,,,,
r-lens,answer,generic_code,print,224,,,,,26.0
r-lens,answer,generic_code,range,224,,,,,
r-lens,answer,generic_code,result,224,,,,,7.0
r-lens,answer,generic_code,return,224,,,,,
r-lens,answer,generic_code,string,224,,,,,18.0
r-lens,answer,generic_code,total,224,,,,16.0,16.0
r-lens,answer,positional,earlier,224,,,,15.0,15.0
r-lens,answer,positional,kept,224,,,,,
r-lens,answer,positional,later,224,,,,,
r-lens,answer,positional,replaced,224,,,,,
r-lens,answer,random_concepts,random_0,224,,,,,19.0
r-lens,answer,random_concepts,random_1,224,,,,,
r-lens,answer,random_concepts,random_2,224,,,,,9.0
r-lens,call,binding_concept,active,224,,,,,
r-lens,call,binding_concept,binding,224,,,,,
r-lens,call,binding_concept,bound,224,,,,,
r-lens,call,binding_concept,definition,224,,,,,6.0
r-lens,call,binding_concept,global,224,,,,,
r-lens,call,binding_concept,inactive,224,,0.0,0.0,0.0,0.0
r-lens,call,binding_concept,inner,224,,,,,
r-lens,call,binding_concept,local,224,,,,,
r-lens,call,binding_concept,outer,224,,,,,
r-lens,call,binding_concept,scope,224,,,,,
r-lens,call,binding_concept,scoped,224,,,,,
r-lens,call,binding_concept,shadow,224,,,,,
r-lens,call,binding_concept,value,224,,,18.0,17.0,16.0
r-lens,call,binding_concept,variable,224,,,,,18.0
r-lens,call,generic_code,buffer,224,,,,,
r-lens,call,generic_code,class,224,,,,,
r-lens,call,generic_code,count,224,,,,,
r-lens,call,generic_code,error,224,,,,,
r-lens,call,generic_code,file,224,,,,,
r-lens,call,generic_code,import,224,,,,,
r-lens,call,generic_code,index,224,,,,,
r-lens,call,generic_code,number,224,,,,,17.0
r-lens,call,generic_code,path,224,,,,,
r-lens,call,generic_code,print,224,,,,24.0,24.0
r-lens,call,generic_code,range,224,,,,,
r-lens,call,generic_code,result,224,,,,13.0,7.0
r-lens,call,generic_code,return,224,,,,,
r-lens,call,generic_code,string,224,,,,,
r-lens,call,generic_code,total,224,,,,,
r-lens,call,positional,earlier,224,,,,,
r-lens,call,positional,kept,224,,,,,
r-lens,call,positional,later,224,,,,,14.0
r-lens,call,positional,replaced,224,,,,,
r-lens,call,random_concepts,random_0,224,,,,,
r-lens,call,random_concepts,random_1,224,,,,,
r-lens,call,random_concepts,random_2,224,,,,,9.0
r-lens,post_use,binding_concept,active,224,,,,,
r-lens,post_use,binding_concept,binding,224,,,,,
r-lens,post_use,binding_concept,bound,224,,,,,
r-lens,post_use,binding_concept,definition,224,,,14.0,14.0,14.0
r-lens,post_use,binding_concept,global,224,,,,,18.0
r-lens,post_use,binding_concept,inactive,224,,0.0,0.0,0.0,0.0
r-lens,post_use,binding_concept,inner,224,,,,,
r-lens,post_use,binding_concept,local,224,,,,,27.0
r-lens,post_use,binding_concept,outer,224,,,,,
r-lens,post_use,binding_concept,scope,224,,,,,
r-lens,post_use,binding_concept,scoped,224,,,,,
r-lens,post_use,binding_concept,shadow,224,,,,,16.0
r-lens,post_use,binding_concept,value,224,,,,18.0,17.0
r-lens,post_use,binding_concept,variable,224,,,,,
r-lens,post_use,generic_code,buffer,224,,,,,
r-lens,post_use,generic_code,class,224,,,,,
r-lens,post_use,generic_code,count,224,,,,,
r-lens,post_use,generic_code,error,224,,,,,14.0
r-lens,post_use,generic_code,file,224,,,,,
r-lens,post_use,generic_code,import,224,,,,,
r-lens,post_use,generic_code,index,224,,,,,
r-lens,post_use,generic_code,number,224,,,,,
r-lens,post_use,generic_code,path,224,,,,,
r-lens,post_use,generic_code,print,224,,,,20.0,18.0
r-lens,post_use,generic_code,range,224,,,,,
r-lens,post_use,generic_code,result,224,,,,,7.0
r-lens,post_use,generic_code,return,224,,,,,
r-lens,post_use,generic_code,string,224,,,,18.0,16.0
r-lens,post_use,generic_code,total,224,,,,,
r-lens,post_use,positional,earlier,224,,,,,
r-lens,post_use,positional,kept,224,,,,,
r-lens,post_use,positional,later,224,,,,,15.0
r-lens,post_use,positional,replaced,224,,,,,
r-lens,post_use,random_concepts,random_0,224,,,,,
r-lens,post_use,random_concepts,random_1,224,,,,,
r-lens,post_use,random_concepts,random_2,224,,,,,11.0
r-lens,use,binding_concept,active,224,,,,,
r-lens,use,binding_concept,binding,224,,,,,
r-lens,use,binding_concept,bound,224,,,,,
r-lens,use,binding_concept,definition,224,,,,,6.0
r-lens,use,binding_concept,global,224,,,,21.0,18.0
r-lens,use,binding_concept,inactive,224,,0.0,0.0,0.0,0.0
r-lens,use,binding_concept,inner,224,,,,,
r-lens,use,binding_concept,local,224,,,,,
r-lens,use,binding_concept,outer,224,,,,,
r-lens,use,binding_concept,scope,224,,,,,
r-lens,use,binding_concept,scoped,224,,,,,
r-lens,use,binding_concept,shadow,224,,,,,
r-lens,use,binding_concept,value,224,,,,18.0,18.0
r-lens,use,binding_concept,variable,224,,,,18.0,13.0
r-lens,use,generic_code,buffer,224,,,,,
r-lens,use,generic_code,class,224,,,,,
r-lens,use,generic_code,count,224,,,,,
r-lens,use,generic_code,error,224,,,,,
r-lens,use,generic_code,file,224,,,,,
r-lens,use,generic_code,import,224,,,,,
r-lens,use,generic_code,index,224,,,,,
r-lens,use,generic_code,number,224,,,,,
r-lens,use,generic_code,path,224,,,,,
r-lens,use,generic_code,print,224,,,,,
r-lens,use,generic_code,range,224,,,,,
r-lens,use,generic_code,result,224,,,,13.0,13.0
r-lens,use,generic_code,return,224,,,,,
r-lens,use,generic_code,string,224,,,,,
r-lens,use,generic_code,total,224,,,,,17.0
r-lens,use,positional,earlier,224,,,,,15.0
r-lens,use,positional,kept,224,,,,,
r-lens,use,positional,later,224,,,,,
r-lens,use,positional,replaced,224,,,,,
r-lens,use,random_concepts,random_0,224,,,,,26.0
r-lens,use,random_concepts,random_1,224,,,,,
r-lens,use,random_concepts,random_2,224,,,,,9.0
