model,base_id,split,contrast,contrast_kind,n_tokens_from,n_tokens_to,same_length,n_differing_tokens,differing_indices,expected_differing,as_designed,mutation_index,differs_only_at_mutation,use_index,use_token_identical
deepseek-coder-1.3b,base_0007,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0007,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0007,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0007,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0008,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0008,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0008,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0008,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0009,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0009,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0009,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0009,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0010,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0010,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0010,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0010,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0011,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0011,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0011,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0011,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0012,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0012,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0012,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0012,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0013,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0013,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0013,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0013,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0014,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0014,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0014,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0014,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0015,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0015,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0015,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0015,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0016,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0016,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0016,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0016,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0017,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0017,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0017,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0017,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0018,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0018,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0018,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0018,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0019,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0019,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0019,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0019,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0020,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0020,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0020,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0020,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0021,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0021,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0021,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0021,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0022,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0022,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0022,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0022,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0023,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0023,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0023,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0023,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0024,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0024,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0024,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0024,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0025,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0025,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0025,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0025,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0026,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0026,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0026,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0026,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0027,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0027,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0027,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0027,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0028,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0028,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0028,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0028,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0029,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0029,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0029,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0029,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0030,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0030,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0030,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0030,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0031,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0031,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0031,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0031,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0032,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0032,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0032,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0032,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0033,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0033,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0033,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0033,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0034,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0034,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0034,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0034,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0035,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0035,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0035,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0035,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0036,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0036,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0036,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0036,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0037,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0037,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0037,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0037,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0038,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0038,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0038,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0038,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0039,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0039,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0039,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0039,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0040,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0040,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0040,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0040,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0041,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0041,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0041,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0041,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0042,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0042,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0042,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0042,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0043,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0043,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0043,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0043,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0044,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0044,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0044,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0044,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0045,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0045,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0045,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0045,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0046,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0046,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0046,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0046,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0047,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0047,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0047,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0047,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0048,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0048,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0048,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0048,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0049,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0049,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0049,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0049,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0050,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0050,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0050,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0050,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0051,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0051,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0051,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0051,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0052,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0052,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0052,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0052,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0053,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0053,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0053,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0053,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0054,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0054,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0054,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0054,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0055,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0055,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0055,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0055,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0056,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0056,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0056,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0056,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0057,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0057,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0057,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0057,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0058,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0058,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0058,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0058,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0059,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0059,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0059,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0059,test,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0060,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0060,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0060,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0060,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0061,calib,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0061,calib,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0061,calib,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0061,calib,same_inner,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
deepseek-coder-1.3b,base_0062,test,flip_ab,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0062,test,flip_ba,binding_flip,21,21,1,1,9,1,1,9,1,15,1
deepseek-coder-1.3b,base_0062,test,same_outer,same_binding,21,21,1,2,"2,11",2,1,9,0,15,1
