pair_id,base_id,template,op_family,split,variant,bound_value,bound_answer,other_answer,logp_bound,logp_other,logit_diff,correct,argmax_token_id,argmax_is_bound_answer,both_counterfactuals_correct
base_0003_threshold,base_0003,global_shadow,threshold,test,source,2,0,1,-0.3169853687286377,-1.3169853687286377,1.0,True,15,True,False
base_0003_threshold,base_0003,global_shadow,threshold,test,target,3,1,0,-0.9489671587944031,-0.4958421587944031,-0.453125,False,15,False,False
base_0004_affine,base_0004,call_frame,affine,test,source,4,5,3,-0.17056408524513245,-2.6861891746520996,2.515625089406967,True,20,True,True
base_0004_affine,base_0004,call_frame,affine,test,target,2,3,5,-0.08789603412151337,-4.96289587020874,4.874999836087227,True,18,True,True
base_0004_threshold,base_0004,call_frame,threshold,test,source,4,1,0,-0.8199222683906555,-0.6167972683906555,-0.203125,False,15,False,False
base_0004_threshold,base_0004,call_frame,threshold,test,target,2,0,1,-0.574471652507782,-0.840096652507782,0.265625,True,15,True,False
base_0005_affine,base_0005,padded_shadow,affine,test,source,2,6,9,-1.1210827827453613,-2.4648327827453613,1.34375,True,21,True,True
base_0005_affine,base_0005,padded_shadow,affine,test,target,5,9,6,-0.5378155708312988,-3.147190570831299,2.609375,True,24,True,True
base_0005_threshold,base_0005,padded_shadow,threshold,test,source,2,0,1,-0.6365970969200134,-0.7772220969200134,0.140625,True,15,True,True
base_0005_threshold,base_0005,padded_shadow,threshold,test,target,5,1,0,-0.5403808951377869,-0.9153808951377869,0.375,True,16,True,True
base_0006_affine,base_0006,global_shadow,affine,test,source,4,5,7,-0.06140386313199997,-4.717653751373291,4.656249888241291,True,20,True,True
base_0006_affine,base_0006,global_shadow,affine,test,target,6,7,5,-0.07626213878393173,-3.7950122356414795,3.7187500968575478,True,22,True,True
base_0006_threshold,base_0006,global_shadow,threshold,test,source,4,0,1,-0.37902671098709106,-1.1602766513824463,0.7812499403953552,True,15,True,False
base_0006_threshold,base_0006,global_shadow,threshold,test,target,6,1,0,-0.9972420930862427,-0.4659920930862427,-0.53125,False,15,False,False
base_0007_affine,base_0007,call_frame,affine,test,source,2,5,6,-0.18299321830272675,-2.948618173599243,2.7656249552965164,True,20,True,False
base_0007_affine,base_0007,call_frame,affine,test,target,3,6,5,-1.1161556243896484,-0.5380305647850037,-0.5781250596046448,False,20,False,False
base_0007_threshold,base_0007,call_frame,threshold,test,source,2,0,1,-0.8666125535964966,-0.5541125535964966,-0.3125,False,16,False,False
base_0007_threshold,base_0007,call_frame,threshold,test,target,3,1,0,-0.4383585751056671,-1.0477335453033447,0.6093749701976776,True,16,True,False
base_0008_affine,base_0008,padded_shadow,affine,calib,source,4,5,8,-1.4184541702270508,-1.0278291702270508,-0.390625,False,23,False,False
base_0008_affine,base_0008,padded_shadow,affine,calib,target,7,8,5,-0.34128662943840027,-4.122536659240723,3.7812500298023224,True,23,True,False
base_0008_threshold,base_0008,padded_shadow,threshold,calib,source,4,0,1,-0.779110312461853,-0.622860312461853,-0.15625,False,16,False,False
base_0008_threshold,base_0008,padded_shadow,threshold,calib,target,7,1,0,-0.5777877569198608,-0.8277877569198608,0.25,True,16,True,False
base_0009_affine,base_0009,global_shadow,affine,calib,source,3,6,8,-0.2645680904388428,-4.108318328857422,3.843750238418579,True,21,True,True
base_0009_affine,base_0009,global_shadow,affine,calib,target,5,8,6,-0.1886274218559265,-2.9542524814605713,2.7656250596046448,True,23,True,True
base_0009_threshold,base_0009,global_shadow,threshold,calib,source,3,0,1,-0.4876244068145752,-0.9563744068145752,0.46875,True,15,True,False
base_0009_threshold,base_0009,global_shadow,threshold,calib,target,5,1,0,-0.9558724164962769,-0.48712241649627686,-0.46875,False,15,False,False
base_0010_affine,base_0010,call_frame,affine,test,source,7,8,5,-0.13358452916145325,-4.383584499359131,4.249999970197678,True,23,True,True
base_0010_affine,base_0010,call_frame,affine,test,target,4,5,8,-0.08436377346515656,-3.1468636989593506,3.062499925494194,True,20,True,True
base_0010_threshold,base_0010,call_frame,threshold,test,source,7,1,0,-0.44709092378616333,-1.0408408641815186,0.5937499403953552,True,16,True,False
base_0010_threshold,base_0010,call_frame,threshold,test,target,4,0,1,-0.8820143938064575,-0.5382643938064575,-0.34375,False,16,False,False
base_0011_affine,base_0011,padded_shadow,affine,calib,source,2,5,7,-1.0919605493545532,-1.2325855493545532,0.140625,True,20,True,True
base_0011_affine,base_0011,padded_shadow,affine,calib,target,3,7,5,-1.5922623872756958,-2.4360122680664062,0.8437498807907104,True,16,False,True
base_0011_threshold,base_0011,padded_shadow,threshold,calib,source,2,0,1,-0.6444704532623291,-0.7538454532623291,0.109375,True,15,True,False
base_0011_threshold,base_0011,padded_shadow,threshold,calib,target,3,1,0,-0.7133155465126038,-0.6820655465126038,-0.03125,False,15,False,False
base_0012_affine,base_0012,global_shadow,affine,test,source,3,5,9,-0.3371853530406952,-3.3059353828430176,2.9687500298023224,True,20,True,True
base_0012_affine,base_0012,global_shadow,affine,test,target,7,9,5,-0.39013445377349854,-1.7807594537734985,1.390625,True,24,True,True
base_0012_threshold,base_0012,global_shadow,threshold,test,source,3,0,1,-0.9006040692329407,-0.5256040692329407,-0.375,False,16,False,False
base_0012_threshold,base_0012,global_shadow,threshold,test,target,7,1,0,-0.6483972072601318,-0.7421472072601318,0.09375,True,16,True,False
base_0013_affine,base_0013,call_frame,affine,test,source,3,5,9,-1.587397813796997,-0.6186477541923523,-0.9687500596046448,False,24,False,False
base_0013_affine,base_0013,call_frame,affine,test,target,7,9,5,-0.07100609689950943,-4.1491312980651855,4.078125201165676,True,24,True,False
base_0013_threshold,base_0013,call_frame,threshold,test,source,3,0,1,-0.3994608223438263,-1.118210792541504,0.7187499701976776,True,15,True,False
base_0013_threshold,base_0013,call_frame,threshold,test,target,7,1,0,-0.8838856220245361,-0.5401356220245361,-0.34375,False,15,False,False
base_0014_affine,base_0014,padded_shadow,affine,calib,source,7,8,6,-0.13881173729896545,-5.1544365882873535,5.015624850988388,True,23,True,True
base_0014_affine,base_0014,padded_shadow,affine,calib,target,5,6,8,-0.1811324805021286,-3.8061325550079346,3.625000074505806,True,21,True,True
base_0014_threshold,base_0014,padded_shadow,threshold,calib,source,7,1,0,-0.7765701413154602,-0.6203201413154602,-0.15625,False,15,False,False
base_0014_threshold,base_0014,padded_shadow,threshold,calib,target,5,0,1,-0.35486745834350586,-1.2142424583435059,0.859375,True,15,True,False
base_0015_affine,base_0015,global_shadow,affine,test,source,7,9,4,-0.19921596348285675,-5.011715888977051,4.812499925494194,True,24,True,True
base_0015_affine,base_0015,global_shadow,affine,test,target,2,4,9,-0.16151836514472961,-6.989643573760986,6.828125208616257,True,19,True,True
base_0015_threshold,base_0015,global_shadow,threshold,test,source,7,1,0,-0.5013805627822876,-0.9388805627822876,0.4375,True,16,True,True
base_0015_threshold,base_0015,global_shadow,threshold,test,target,2,0,1,-0.32929155230522156,-1.282416582107544,0.9531250298023224,True,15,True,True
base_0016_affine,base_0016,call_frame,affine,test,source,3,4,6,-0.21706028282642365,-2.3420603275299072,2.1250000447034836,True,19,True,True
base_0016_affine,base_0016,call_frame,affine,test,target,5,6,4,-0.1659088134765625,-2.6659088134765625,2.5,True,21,True,True
base_0016_threshold,base_0016,call_frame,threshold,test,source,3,0,1,-0.6562585234642029,-0.7343835234642029,0.078125,True,15,True,True
base_0016_threshold,base_0016,call_frame,threshold,test,target,5,1,0,-0.6406905055046082,-0.7500655055046082,0.109375,True,16,True,True
base_0017_affine,base_0017,padded_shadow,affine,test,source,7,8,5,-0.5054521560668945,-4.9273271560668945,4.421875,True,23,True,True
base_0017_affine,base_0017,padded_shadow,affine,test,target,4,5,8,-1.2877675294876099,-1.3033925294876099,0.015625,True,21,False,True
base_0017_threshold,base_0017,padded_shadow,threshold,test,source,7,1,0,-0.5326350331306458,-0.8920100331306458,0.359375,True,16,True,True
base_0017_threshold,base_0017,padded_shadow,threshold,test,target,4,0,1,-0.5320156216621399,-0.8913906216621399,0.359375,True,15,True,True
base_0018_affine,base_0018,global_shadow,affine,calib,source,4,6,7,-1.0243301391601562,-0.7430801391601562,-0.28125,False,22,False,False
base_0018_affine,base_0018,global_shadow,affine,calib,target,5,7,6,-0.07513286173343658,-4.293882846832275,4.218749985098839,True,22,True,False
base_0018_threshold,base_0018,global_shadow,threshold,calib,source,4,0,1,-0.28682950139045715,-1.3962044715881348,1.1093749701976776,True,15,True,False
base_0018_threshold,base_0018,global_shadow,threshold,calib,target,5,1,0,-1.0049751996994019,-0.45810019969940186,-0.546875,False,15,False,False
base_0019_affine,base_0019,call_frame,affine,calib,source,2,5,6,-0.1829293817281723,-3.073554277420044,2.8906248956918716,True,20,True,False
base_0019_affine,base_0019,call_frame,affine,calib,target,3,6,5,-1.7239712476730347,-0.3177212178707123,-1.4062500298023224,False,20,False,False
base_0019_threshold,base_0019,call_frame,threshold,calib,source,2,0,1,-1.019118070602417,-0.472243070602417,-0.546875,False,16,False,False
base_0019_threshold,base_0019,call_frame,threshold,calib,target,3,1,0,-0.2763097584247589,-1.4481847286224365,1.1718749701976776,True,16,True,False
base_0020_affine,base_0020,padded_shadow,affine,test,source,3,7,9,-0.8125966191291809,-3.078221559524536,2.2656249403953552,True,22,True,True
base_0020_affine,base_0020,padded_shadow,affine,test,target,5,9,7,-0.9947025179862976,-2.2759525775909424,1.2812500596046448,True,24,True,True
base_0020_threshold,base_0020,padded_shadow,threshold,test,source,3,0,1,-0.5781234502792358,-0.8281234502792358,0.25,True,15,True,False
base_0020_threshold,base_0020,padded_shadow,threshold,test,target,5,1,0,-0.9295192956924438,-0.5076442956924438,-0.421875,False,15,False,False
base_0021_affine,base_0021,global_shadow,affine,test,source,5,8,7,-0.23415826261043549,-3.2341582775115967,3.000000014901161,True,23,True,True
base_0021_affine,base_0021,global_shadow,affine,test,target,4,7,8,-0.11740107089281082,-5.258026123046875,5.140625052154064,True,22,True,True
base_0021_threshold,base_0021,global_shadow,threshold,test,source,5,1,0,-0.8384013772010803,-0.5727763772010803,-0.265625,False,15,False,False
base_0021_threshold,base_0021,global_shadow,threshold,test,target,4,0,1,-0.2611217498779297,-1.4798717498779297,1.21875,True,15,True,False
base_0022_affine,base_0022,call_frame,affine,test,source,2,3,5,-0.21711891889572144,-2.388993978500366,2.1718750596046448,True,18,True,True
base_0022_affine,base_0022,call_frame,affine,test,target,4,5,3,-0.12349341064691544,-2.4047434329986572,2.281250022351742,True,20,True,True
base_0022_threshold,base_0022,call_frame,threshold,test,source,2,0,1,-0.8372663259506226,-0.5716413259506226,-0.265625,False,16,False,False
base_0022_threshold,base_0022,call_frame,threshold,test,target,4,1,0,-0.5067962408065796,-0.9286712408065796,0.421875,True,16,True,False
base_0023_affine,base_0023,padded_shadow,affine,test,source,7,8,3,-0.19765642285346985,-5.244531631469727,5.046875208616257,True,23,True,True
base_0023_affine,base_0023,padded_shadow,affine,test,target,2,3,8,-0.3914242684841156,-4.266424179077148,3.874999910593033,True,18,True,True
base_0023_threshold,base_0023,padded_shadow,threshold,test,source,7,1,0,-0.6213311553001404,-0.7775811553001404,0.15625,True,16,True,True
base_0023_threshold,base_0023,padded_shadow,threshold,test,target,2,0,1,-0.5201857089996338,-0.9108107089996338,0.390625,True,15,True,True
base_0024_affine,base_0024,global_shadow,affine,calib,source,7,8,6,-0.11607778817415237,-4.084827899932861,3.968750111758709,True,23,True,True
base_0024_affine,base_0024,global_shadow,affine,calib,target,5,6,8,-0.06655847281217575,-5.894683361053467,5.828124888241291,True,21,True,True
base_0024_threshold,base_0024,global_shadow,threshold,calib,source,7,1,0,-0.5703268647193909,-0.8359518647193909,0.265625,True,16,True,True
base_0024_threshold,base_0024,global_shadow,threshold,calib,target,5,0,1,-0.2858472168445587,-1.3952221870422363,1.1093749701976776,True,15,True,True
base_0025_affine,base_0025,call_frame,affine,test,source,3,6,8,-2.5578694343566895,-0.21411943435668945,-2.34375,False,23,False,False
base_0025_affine,base_0025,call_frame,affine,test,target,5,8,6,-0.17803020775318146,-3.771780252456665,3.5937500447034836,True,23,True,False
base_0025_threshold,base_0025,call_frame,threshold,test,source,3,0,1,-0.3990456461906433,-1.117795705795288,0.7187500596046448,True,15,True,False
base_0025_threshold,base_0025,call_frame,threshold,test,target,5,1,0,-1.0248538255691528,-0.44672882556915283,-0.578125,False,15,False,False
base_0026_affine,base_0026,padded_shadow,affine,test,source,5,6,8,-0.8505098819732666,-2.8192598819732666,1.96875,True,21,True,True
base_0026_affine,base_0026,padded_shadow,affine,test,target,7,8,6,-0.5091245174407959,-3.634124517440796,3.125,True,23,True,True
base_0026_threshold,base_0026,padded_shadow,threshold,test,source,5,0,1,-0.5200494527816772,-0.9106744527816772,0.390625,True,15,True,False
base_0026_threshold,base_0026,padded_shadow,threshold,test,target,7,1,0,-0.736291766166687,-0.658166766166687,-0.078125,False,15,False,False
base_0027_affine,base_0027,global_shadow,affine,test,source,3,4,8,-0.4772404432296753,-2.539740562438965,2.0625001192092896,True,19,True,True
base_0027_affine,base_0027,global_shadow,affine,test,target,7,8,4,-0.08744240552186966,-4.243692398071289,4.156249992549419,True,23,True,True
base_0027_threshold,base_0027,global_shadow,threshold,test,source,3,0,1,-0.6182425022125244,-0.7901175022125244,0.171875,True,15,True,True
base_0027_threshold,base_0027,global_shadow,threshold,test,target,7,1,0,-0.6790375113487244,-0.7102875113487244,0.03125,True,16,True,True
base_0028_affine,base_0028,call_frame,affine,test,source,4,6,7,-0.36701929569244385,-1.6795192956924438,1.3125,True,21,True,True
base_0028_affine,base_0028,call_frame,affine,test,target,5,7,6,-0.11710294336080551,-3.101477861404419,2.9843749180436134,True,22,True,True
base_0028_threshold,base_0028,call_frame,threshold,test,source,4,0,1,-0.539586067199707,-0.883336067199707,0.34375,True,15,True,True
base_0028_threshold,base_0028,call_frame,threshold,test,target,5,1,0,-0.6574723720550537,-0.7355973720550537,0.078125,True,16,True,True
base_0029_affine,base_0029,padded_shadow,affine,calib,source,7,9,8,-0.6628504395484924,-3.0222253799438477,2.3593749403953552,True,24,True,False
base_0029_affine,base_0029,padded_shadow,affine,calib,target,6,8,9,-1.1166573762893677,-0.8822823762893677,-0.234375,False,24,False,False
base_0029_threshold,base_0029,padded_shadow,threshold,calib,source,7,1,0,-0.9274963140487671,-0.5056213140487671,-0.421875,False,15,False,False
base_0029_threshold,base_0029,padded_shadow,threshold,calib,target,6,0,1,-0.4300263822078705,-1.0550264120101929,0.6250000298023224,True,15,True,False
base_0030_affine,base_0030,global_shadow,affine,calib,source,5,6,3,-0.17738929390907288,-4.989889144897461,4.812499850988388,True,21,True,True
base_0030_affine,base_0030,global_shadow,affine,calib,target,2,3,6,-0.052474044263362885,-6.068099021911621,6.015624977648258,True,18,True,True
base_0030_threshold,base_0030,global_shadow,threshold,calib,source,5,1,0,-0.6201783418655396,-0.7764283418655396,0.15625,True,16,True,True
base_0030_threshold,base_0030,global_shadow,threshold,calib,target,2,0,1,-0.33699217438697815,-1.2588671445846558,0.9218749701976776,True,15,True,True
base_0031_affine,base_0031,call_frame,affine,calib,source,5,8,7,-0.1622922718524933,-2.927917242050171,2.7656249701976776,True,23,True,True
base_0031_affine,base_0031,call_frame,affine,calib,target,4,7,8,-0.07789169251918793,-4.452891826629639,4.375000134110451,True,22,True,True
base_0031_threshold,base_0031,call_frame,threshold,calib,source,5,1,0,-0.5731490254402161,-0.8387740254402161,0.265625,True,16,True,True
base_0031_threshold,base_0031,call_frame,threshold,calib,target,4,0,1,-0.6140117645263672,-0.7858867645263672,0.171875,True,15,True,True
base_0032_affine,base_0032,padded_shadow,affine,calib,source,2,5,9,-0.8664634227752686,-3.3977134227752686,2.53125,True,20,True,True
base_0032_affine,base_0032,padded_shadow,affine,calib,target,6,9,5,-0.8098788261413574,-4.591128826141357,3.78125,True,24,True,True
base_0032_threshold,base_0032,padded_shadow,threshold,calib,source,2,0,1,-0.5654342174530029,-0.8466842174530029,0.28125,True,15,True,False
base_0032_threshold,base_0032,padded_shadow,threshold,calib,target,6,1,0,-0.8281984925270081,-0.5781984925270081,-0.25,False,15,False,False
base_0033_affine,base_0033,global_shadow,affine,test,source,6,8,9,-0.5125073790550232,-1.246882438659668,0.7343750596046448,True,23,True,True
base_0033_affine,base_0033,global_shadow,affine,test,target,7,9,8,-0.11065130680799484,-4.25127649307251,4.140625186264515,True,24,True,True
base_0033_threshold,base_0033,global_shadow,threshold,test,source,6,0,1,-0.39859336614608765,-1.1173434257507324,0.7187500596046448,True,15,True,False
base_0033_threshold,base_0033,global_shadow,threshold,test,target,7,1,0,-0.7424843907356262,-0.6487343907356262,-0.09375,False,15,False,False
base_0034_affine,base_0034,call_frame,affine,test,source,2,3,7,-0.11817142367362976,-5.024421215057373,4.906249791383743,True,18,True,False
base_0034_affine,base_0034,call_frame,affine,test,target,6,7,3,-1.1321837902069092,-0.4759337306022644,-0.6562500596046448,False,18,False,False
base_0034_threshold,base_0034,call_frame,threshold,test,source,2,0,1,-0.6518322229385376,-0.7455822229385376,0.09375,True,15,True,True
base_0034_threshold,base_0034,call_frame,threshold,test,target,6,1,0,-0.6584872603416443,-0.7366122603416443,0.078125,True,16,True,True
base_0035_affine,base_0035,padded_shadow,affine,calib,source,6,8,9,-1.78395414352417,-0.9870792031288147,-0.7968749403953552,False,24,False,False
base_0035_affine,base_0035,padded_shadow,affine,calib,target,7,9,8,-0.6462711691856384,-1.2400212287902832,0.5937500596046448,True,24,True,False
base_0035_threshold,base_0035,padded_shadow,threshold,calib,source,6,0,1,-0.518217921257019,-0.908842921257019,0.390625,True,15,True,False
base_0035_threshold,base_0035,padded_shadow,threshold,calib,target,7,1,0,-0.7680284976959229,-0.6274034976959229,-0.140625,False,15,False,False
base_0036_affine,base_0036,global_shadow,affine,calib,source,4,5,8,-0.3712919354438782,-1.7619168758392334,1.3906249403953552,True,20,True,True
base_0036_affine,base_0036,global_shadow,affine,calib,target,7,8,5,-0.05305234715342522,-5.7093024253845215,5.656250078231096,True,23,True,True
base_0036_threshold,base_0036,global_shadow,threshold,calib,source,4,0,1,-0.5515924692153931,-0.8640924692153931,0.3125,True,15,True,False
base_0036_threshold,base_0036,global_shadow,threshold,calib,target,7,1,0,-0.6952736377716064,-0.6952736377716064,0.0,False,15,False,False
base_0037_affine,base_0037,call_frame,affine,test,source,5,9,7,-1.0770776271820068,-3.373952627182007,2.296875,True,23,False,True
base_0037_affine,base_0037,call_frame,affine,test,target,3,7,9,-0.05736324191093445,-6.604238033294678,6.546874791383743,True,22,True,True
base_0037_threshold,base_0037,call_frame,threshold,test,source,5,1,0,-0.856938898563385,-0.560063898563385,-0.296875,False,15,False,False
base_0037_threshold,base_0037,call_frame,threshold,test,target,3,0,1,-0.4755147695541382,-0.9755147695541382,0.5,True,15,True,False
base_0038_affine,base_0038,padded_shadow,affine,test,source,5,7,8,-2.23008394241333,-1.8863338232040405,-0.34375011920928955,False,16,False,False
base_0038_affine,base_0038,padded_shadow,affine,test,target,6,8,7,-1.5333577394485474,-2.064607620239258,0.5312498807907104,True,16,False,False
base_0038_threshold,base_0038,padded_shadow,threshold,test,source,5,0,1,-0.4361943006515503,-1.0455693006515503,0.609375,True,15,True,False
base_0038_threshold,base_0038,padded_shadow,threshold,test,target,6,1,0,-1.1404409408569336,-0.3904409110546112,-0.7500000298023224,False,15,False,False
base_0039_affine,base_0039,global_shadow,affine,test,source,2,5,7,-0.6521152257919312,-1.5896152257919312,0.9375,True,20,True,True
base_0039_affine,base_0039,global_shadow,affine,test,target,3,7,5,-0.35061460733413696,-1.8349895477294922,1.4843749403953552,True,22,True,True
base_0039_threshold,base_0039,global_shadow,threshold,test,source,2,0,1,-0.5182543992996216,-0.9245043992996216,0.40625,True,15,True,False
base_0039_threshold,base_0039,global_shadow,threshold,test,target,3,1,0,-1.036467432975769,-0.44271743297576904,-0.59375,False,15,False,False
base_0040_affine,base_0040,call_frame,affine,test,source,7,8,5,-0.11842465400695801,-4.227799415588379,4.109374761581421,True,23,True,True
base_0040_affine,base_0040,call_frame,affine,test,target,4,5,8,-0.14634811878204346,-2.380722999572754,2.2343748807907104,True,20,True,True
base_0040_threshold,base_0040,call_frame,threshold,test,source,7,1,0,-0.8951181173324585,-0.5513681173324585,-0.34375,False,15,False,False
base_0040_threshold,base_0040,call_frame,threshold,test,target,4,0,1,-0.5208527445793152,-0.9114777445793152,0.390625,True,15,True,False
base_0041_affine,base_0041,padded_shadow,affine,test,source,4,5,3,-0.9752999544143677,-4.522174835205078,3.5468748807907104,True,20,True,True
base_0041_affine,base_0041,padded_shadow,affine,test,target,2,3,5,-0.19792824983596802,-4.072928428649902,3.8750001788139343,True,18,True,True
base_0041_threshold,base_0041,padded_shadow,threshold,test,source,4,1,0,-0.7444885969161987,-0.6507385969161987,-0.09375,False,15,False,False
base_0041_threshold,base_0041,padded_shadow,threshold,test,target,2,0,1,-0.4074832797050476,-1.1106083393096924,0.7031250596046448,True,15,True,False
base_0042_affine,base_0042,global_shadow,affine,test,source,3,7,9,-1.0130832195281982,-1.3255832195281982,0.3125,True,22,True,True
base_0042_affine,base_0042,global_shadow,affine,test,target,4,9,7,-0.4500444531440735,-2.0125443935394287,1.5624999403953552,True,24,True,True
base_0042_threshold,base_0042,global_shadow,threshold,test,source,3,0,1,-0.431561678647995,-1.0565617084503174,0.6250000298023224,True,15,True,False
base_0042_threshold,base_0042,global_shadow,threshold,test,target,4,1,0,-0.7596684694290161,-0.6346684694290161,-0.125,False,15,False,False
base_0043_affine,base_0043,call_frame,affine,test,source,7,8,6,-0.18129149079322815,-4.259416580200195,4.078125089406967,True,23,True,True
base_0043_affine,base_0043,call_frame,affine,test,target,5,6,8,-0.08658109605312347,-4.430331230163574,4.343750134110451,True,21,True,True
base_0043_threshold,base_0043,call_frame,threshold,test,source,7,1,0,-0.33760032057762146,-1.2594753503799438,0.9218750298023224,True,16,True,False
base_0043_threshold,base_0043,call_frame,threshold,test,target,5,0,1,-1.503454327583313,-0.2534542977809906,-1.2500000298023224,False,16,False,False
base_0044_affine,base_0044,padded_shadow,affine,test,source,3,7,9,-0.3940277099609375,-4.1596527099609375,3.765625,True,22,True,True
base_0044_affine,base_0044,padded_shadow,affine,test,target,5,9,7,-0.1722499132156372,-4.328499794006348,4.1562498807907104,True,24,True,True
base_0044_threshold,base_0044,padded_shadow,threshold,test,source,3,0,1,-0.35964342951774597,-1.2033934593200684,0.8437500298023224,True,15,True,False
base_0044_threshold,base_0044,padded_shadow,threshold,test,target,5,1,0,-1.0771580934524536,-0.4209080934524536,-0.65625,False,15,False,False
base_0045_affine,base_0045,global_shadow,affine,test,source,2,5,9,-1.8400068283081055,-2.2618818283081055,0.421875,True,22,False,True
base_0045_affine,base_0045,global_shadow,affine,test,target,4,9,5,-0.7657815217971802,-2.7032814025878906,1.9374998807907104,True,24,True,True
base_0045_threshold,base_0045,global_shadow,threshold,test,source,2,0,1,-0.43236032128334045,-1.088610291481018,0.6562499701976776,True,15,True,False
base_0045_threshold,base_0045,global_shadow,threshold,test,target,4,1,0,-0.989266037940979,-0.473641037940979,-0.515625,False,15,False,False
base_0046_affine,base_0046,call_frame,affine,calib,source,4,5,8,-0.10364838689565659,-4.2286481857299805,4.124999798834324,True,20,True,True
base_0046_affine,base_0046,call_frame,affine,calib,target,7,8,5,-0.06448838859796524,-5.080113410949707,5.015625022351742,True,23,True,True
base_0046_threshold,base_0046,call_frame,threshold,calib,source,4,0,1,-0.48885709047317505,-0.957607090473175,0.46875,True,15,True,True
base_0046_threshold,base_0046,call_frame,threshold,calib,target,7,1,0,-0.6292489767074585,-0.7698739767074585,0.140625,True,16,True,True
base_0047_affine,base_0047,padded_shadow,affine,test,source,6,8,7,-0.9542819857597351,-2.84490704536438,1.8906250596046448,True,23,True,True
base_0047_affine,base_0047,padded_shadow,affine,test,target,5,7,8,-0.5535834431648254,-2.1942083835601807,1.6406249403953552,True,22,True,True
base_0047_threshold,base_0047,padded_shadow,threshold,test,source,6,1,0,-0.7038602828979492,-0.6882352828979492,-0.015625,False,15,False,False
base_0047_threshold,base_0047,padded_shadow,threshold,test,target,5,0,1,-0.41529038548469543,-1.087165355682373,0.6718749701976776,True,15,True,False
base_0048_affine,base_0048,global_shadow,affine,test,source,5,8,6,-0.171249657869339,-3.7181246280670166,3.5468749701976776,True,23,True,True
base_0048_affine,base_0048,global_shadow,affine,test,target,3,6,8,-0.1275150328874588,-6.111889839172363,5.9843748062849045,True,21,True,True
base_0048_threshold,base_0048,global_shadow,threshold,test,source,5,1,0,-0.6417642831802368,-0.7511392831802368,0.109375,True,16,True,True
base_0048_threshold,base_0048,global_shadow,threshold,test,target,3,0,1,-0.3448367118835449,-1.235461711883545,0.890625,True,15,True,True
base_0049_affine,base_0049,call_frame,affine,calib,source,5,6,4,-0.25204867124557495,-4.002048492431641,3.7499998211860657,True,21,True,True
base_0049_affine,base_0049,call_frame,affine,calib,target,3,4,6,-0.031725917011499405,-5.859850883483887,5.828124966472387,True,19,True,True
base_0049_threshold,base_0049,call_frame,threshold,calib,source,5,1,0,-0.7438418865203857,-0.6500918865203857,-0.09375,False,15,False,False
base_0049_threshold,base_0049,call_frame,threshold,calib,target,3,0,1,-0.678789496421814,-0.710039496421814,0.03125,True,15,True,False
base_0050_affine,base_0050,padded_shadow,affine,test,source,2,6,8,-3.176726818084717,-2.676726818084717,-0.5,False,16,False,False
base_0050_affine,base_0050,padded_shadow,affine,test,target,3,8,6,-2.992567777633667,-4.117568016052246,1.125000238418579,True,16,False,False
base_0050_threshold,base_0050,padded_shadow,threshold,test,source,2,0,1,-0.515475869178772,-0.921725869178772,0.40625,True,15,True,False
